cancer.type	nsamples	AGA	ARL8B	ARSA	ARSB	ASAH1	ATG10	ATG16L1	ATG2B	ATG3	ATG7	ATG9B	ATP6AP1	ATP6V0A1	ATP6V0B	ATP6V0C	ATP6V0D1	ATP6V0D2	ATP6V0E1	ATP6V1A	ATP6V1B2	ATP6V1C1	ATP6V1D	ATP6V1E1	ATP6V1G1	ATP6V1H	BECN1	CD63	CLCN7	CLN3	CTNS	CTSA	CTSB	CTSD	CTSF	CTSS	CTSZ	GAA	GABARAPL1	GABARAP	GALC	GALNS	GBA	GLB1	GM2A	GNS	GUSB	HEXA	HEXB	HIF1A	HPS1	HPS4	LAMP1	MAP1LC3A	MAP1LC3B	MCOLN1	NAGLU	NEU1	NPC2	PLBD2	PPARGC1A	PSAP	RRAGC	RRAGD	SCPEP1	SGSH	SLC36A1	SQSTM1	STK4	TFEB	TPP1	ULK1	ULK2	UVRAG	VPS11	VPS18	VPS26A	VPS33A	VPS35	VPS8	WDR45	WIPI1	IFI30
1	BRCA	1089	-0.0134462156287876	0.207192540479972	-0.189731157131187	0.0192870984300591	-0.225140679984245	-0.00103777083071268	-0.0736296111899435	-0.191050411882776	0.119616308874068	0.0501183032490258	0.127555021296392	0.0705622901756399	0.0306848655887555	0.174558417029828	0.114231160385651	0.0524519817783407	0.109321514235275	0.0504691064441397	0.0898122870675583	-0.11364614190455	0.348972901374624	0.032157985719155	0.067837668335862	-0.0714178639906432	0.280557250193395	0.0488582464225644	-0.115792160582092	-0.00794425515338878	0.00286899172797684	0.0719403847207805	0.0961723639417875	0.0482117334443786	-0.0624081435176416	-0.106728880687936	-0.0315610914044363	0.0639409198526341	0.359094080944242	-0.167056062644179	-0.122866237653627	-0.125577151894796	0.067057038784985	0.0302783970515365	0.0392374323385301	-0.0469588138651244	0.0328748401041032	-0.124823853603787	-0.123278549929475	-0.012093650828495	-0.054414287000831	-0.163264036326357	-0.0561336085878451	-0.0424800650910511	-0.0486476479374189	-0.0227162771859154	0.0838393099635837	-0.0265160322886088	0.167368648177692	-0.0560624377818679	-0.0710674378544052	-0.174721506110218	-0.0238225664744475	0.184185787147965	0.0503403023173001	-0.00283931333539269	0.129697863869307	0.113407420168301	0.0691940222233499	0.00744295802618403	-0.124302307260419	-0.154121700901837	-0.103437977295768	0.0524026054223295	-0.00777741611616179	-0.122820886122757	-0.049357946111431	0.158716333016458	0.166876527288231	0.22321864697828	-0.0213526088671671	-0.0256588960462766	0.0764365822179722	NA
2	COAD	478	0.178637459997302	0.0934120708837963	-0.126829637581773	-0.155250405786039	0.0257540101287698	0.152027672651682	0.0832829667941399	-0.321357638851559	0.365341996359209	0.163832053481815	-0.112437686506528	0.000218130576187772	-0.167536825737319	0.407525841004429	-0.201294998706772	0.247394006867536	0.128107776493915	0.186180027050267	0.0587208216186543	0.0471390736597675	0.115208028600641	0.172922171261018	0.217493693971129	0.0175495693221992	0.221454628800154	-0.00724145968053951	-0.0182622919315017	-0.17547892947639	0.0496677540413834	0.0877536660244927	-0.0571468063867123	0.00471071986180784	-0.112197069323465	-0.0509704830874943	0.00176408371054346	-0.00827872508980506	0.0956076311338037	-0.261417298739889	-0.257792529909457	0.0348365833734266	-0.017581084885928	-0.0131309137498444	0.132614570049324	0.0688815951106593	-0.110481850586126	0.0319601664042247	0.117695166526529	0.162498576080601	-0.0953932250600207	0.0640754449237412	-0.157003111126496	-0.132832141610529	-0.0597739579352921	-0.0581972083436628	0.0976688472439073	0.157836531684121	0.167154321390642	0.168872380341957	-0.265588733369447	-0.0788811805883112	-0.0478109092461727	0.11603877376601	0.00128652299667047	0.225360689935128	-0.0104886243765785	-0.180784985572484	-0.131390031871883	-0.223321203168733	-0.135308523662469	-0.113947185022704	-0.503150723677705	-0.128170408079974	-0.0694101535676897	0.124971373942889	-0.0429907027255658	0.337453227686876	0.106879637251814	0.0587382916333992	-0.284713443611373	-0.0583810587196151	0.0933220425235424	0.226673900854674
3	ESCA	161	0.183082644337026	0.207712121441342	-0.192399046466286	-0.118518017957257	-0.265954915391692	0.232765282926643	-0.0932946953810826	-0.169401920153023	0.0926419430739841	-0.162582519847869	0.0111191627455033	-0.119253787677053	-0.157195295010762	0.015598468477406	0.222471596709445	0.167518430521202	NA	0.168897400622522	0.0995239505634256	0.0254802895108657	0.0999058251803157	0.23415962514216	0.220089113694233	0.372863371518426	0.312343956344087	-0.047732940531271	-0.272361420344484	-0.0161463088503432	0.0742597888486622	0.0858272958247901	-0.271301584791251	0.0335326948477719	-0.261142595583698	-0.0506990857861284	-0.394711283741034	-0.331909931748613	0.259004478696714	0.0532251548128946	0.0753974758243369	-0.259306759298401	0.162712054486087	-0.0833644851751643	-0.293363277506792	0.254009424637116	-0.316426713097471	-0.153200314873497	-0.0338812466976116	-0.113449338082824	0.187140956183529	-0.156227894110434	0.140422362677639	0.00161895587418877	-0.278860787430979	0.168894272590074	0.111078521445198	-0.10180499082706	0.0423511684816647	0.124425248519937	0.0373535351066534	-0.279506637551297	-0.312026083964614	0.193813078213661	-0.0121276864946439	0.158129737928993	0.0918267215803169	0.173413695731119	-0.0384585799435854	-0.314439166978421	-0.199837674125986	-0.168973462206243	-0.00915288378384587	0.0707480909884302	-0.0291984655996713	-0.221720914318669	-0.12372414685572	0.263011165778871	0.214606751267967	0.12386450883922	0.0950691214427775	-0.0614423731538512	0.0492886566071785	NA
4	GBM	156	0.134658225667434	-0.246194100861247	-0.155324606767921	0.0325327959553114	-0.190384218742636	0.325074759482737	0.305884677242402	-0.323903670296752	0.234481314356905	0.21360998696924	0.0249012729449198	0.0350302514995643	-0.409490385310058	0.363437146854043	0.113902393536883	0.0793098488719853	NA	0.161789587398679	-0.218271103076146	0.0411133194517139	-0.272640272607167	0.123657944855972	0.0696622820372519	0.289634418595908	0.00588503981312015	-0.115403460083039	0.267184797598994	-0.462212247414459	0.0710163871378174	-0.0680296569330588	-0.106167338914146	-0.0734519943183976	-0.108213962296353	0.110955957427304	-0.00536899810575845	-0.0930217304377437	-0.145345432676966	-0.294289690401565	0.23902356144099	-0.0378865048589075	0.0235457468692602	-0.0253719737129093	0.289437290879078	-0.208232114492796	-0.14501547342861	0.209142326090166	0.207561483879241	0.297492042117508	0.0454321307670506	-0.0887110986075157	-0.251884363536675	-0.151413350919483	-0.0644594856234747	-0.0587361822797188	0.0932787108072312	0.183390508523847	0.437788444519687	0.0381472595486687	-0.287677955454158	-0.274422379521143	-0.214770224251151	0.152361925956658	-0.0468005307358297	-0.0484569452478718	-0.00327405577519951	-0.0433932562257566	-0.200106210804156	-0.167617349690443	-0.0524071025726277	-0.241021077787973	-0.368913341199141	-0.181614870706573	-0.0538499289255372	-0.0742718147385555	-0.0501394408615223	0.38071210403576	0.226463241089767	-0.0798715985234274	-0.365336926372146	-0.00181917323239335	0.0891364682383575	0.190247554808075
5	KICH	65	-0.114404973946098	-0.264060229262789	-0.0220503070434232	0.560064686728294	0.136674060565214	-0.080488657740275	0.267669041543005	-0.276156342553938	-0.0625676103930618	0.0684579745781731	-0.204666157486279	-0.0984864225009231	0.190847702091392	-0.2522729264973	-0.0582244178849263	-0.193625228111257	-0.181091788117551	-0.360100088527708	-0.164457509014716	0.321007889158417	0.184402897833271	-0.363107858452351	-0.335362189479178	-0.215389322319107	-0.018751024432301	0.505474332918114	0.0498305849109759	-0.256274653365969	-0.114078412545272	0.357445692641851	0.053912302366662	0.383818516429489	-0.189616858054631	-0.120980342886843	0.204772935928965	0.0534096744970093	0.564321382946154	-0.351958912901102	0.395961494358147	-0.220376764771364	0.0919163443257064	0.388555006867559	-0.109530365611137	-0.018072947398326	0.283570999442101	0.0426359553779317	-0.170569402416293	0.120260495203129	0.47619567951967	0.117748615018448	-0.436608791643105	0.334353214035324	-0.438553742964805	-0.0572346423654363	0.207852093066158	0.153891541656276	0.124826538758968	-0.446697845292213	0.0453244170545685	0.151929717244201	0.50652052109185	0.135425430792949	0.0904422129275886	0.251863021482113	0.285146091479272	0.0871978670604663	0.218888293991235	-0.0628721904778624	-0.262568428429446	0.258793832956512	-0.231060895803647	0.256233746366835	0.308023470554561	0.0590941376048275	0.00498262636858323	0.312925467418181	-0.323808691300732	0.299054799920288	-0.296326245447739	-0.410974770290817	0.298998022286449	0.0450238782799962
6	LUAD	533	-0.0056978545914298	-0.039204074904456	-0.238994667055896	-0.00752700479322514	-0.256789173819049	0.168692039230796	0.222679904963596	-0.360855541316988	0.195698459666964	0.113171154712107	0.217860526824266	-0.0553101297142257	-0.415317878264601	0.245883334761169	0.0567208957415426	-0.183915650379906	-0.0808851935163715	-0.0684707246814387	0.0442750799429631	-0.143146059170145	0.286019524710149	0.091976546294824	0.131020269863049	0.13996267657732	0.185621470096842	0.0199016742450396	-0.118588914061865	-0.191593457214654	-0.0698514263099326	-0.0491168818469816	0.100060305818512	0.0434888863829554	-0.289081768263382	-0.213233203012552	-0.212120154845966	-0.177861174684619	0.163632752691498	-0.0716006241607175	0.0432574069164616	-0.256383295999421	-0.0529627618793454	0.256477987670644	0.0353833618552541	-0.0236944884279135	-0.0289949076588007	-0.101610144732467	-0.0742110144882746	-0.0500131189324246	0.26116740269016	-0.312686898641149	-0.244796924857318	-0.191887512000005	-0.150291521177573	-0.0963601614816022	-0.0128323445362082	-0.0579542541639889	0.170596350892168	-0.293356084420164	0.139963857015773	-0.0556955603987066	5.07515331782146e-05	0.203554939708224	-0.0162699355449532	-0.0329939866301243	-0.140518935888388	-0.0226504477849986	0.0449853769629969	-0.204518104556341	-0.320353386343752	-0.29450676225703	0.0139534915052513	-0.184184982600304	-0.0804606521197362	-0.0473806902880985	0.0666901195493068	0.390332061369455	0.476326585393201	0.0103805832806317	-0.230065411041933	-0.00513422613684769	0.141499526517494	0.102531279199195
7	LUSC	502	0.0892295719785593	0.0295199632881315	-0.294140989035128	-0.239548888056837	-0.170730504821064	0.139852271255962	0.0971452140902525	-0.216883400563418	0.044902585339031	-0.0424356746688474	0.122552263393357	-0.00422665530680243	-0.119623221117297	0.114972873406938	0.0791259481746431	-0.0551821414548643	-0.110660371247294	0.0261420330350439	-0.0854770423160839	-0.216951439579339	-0.00316547402026698	-0.0297244661487469	0.073547914979957	0.031175745623677	0.00391828989653779	0.135429056477094	-0.130073654493601	-0.252039731633321	0.146247615862624	0.00145974676269576	-0.179480180074308	-0.188033015652893	-0.288908174263224	-0.14208742303629	-0.155083063947306	-0.224978300658029	0.324077602259196	-0.0784880030717067	0.00681396625225839	-0.185089110087704	-0.0986050000629621	0.0650613259431548	-0.0166498823787667	-0.0981392493395382	-0.151786732525945	-0.102438742593378	-0.0680421196815451	-0.0808257329741887	-0.00745275585492617	-0.157749369764798	-0.0480005044534487	-0.263837924353367	-0.0621893568203433	-0.0819176398010865	-0.0284838035383131	0.132703955312146	0.186846449559682	-0.240449820831356	-0.170750578229255	-0.250563250568047	-0.230501810822367	-0.0685978237144887	0.00868802169245133	-0.017433365581082	0.245611037082517	-0.00362477839136849	0.14370678482801	-0.281918470209559	-0.306047438125676	-0.26011399490192	-0.185140082960235	-0.00921237579320091	0.0174094378557287	-0.0655392088137347	-0.0952594371105809	0.0820446054012358	0.220044140738079	0.0272717006521798	0.090749624256616	0.025859997017197	0.184643407783643	0.0417763268720162
8	READ	166	0.100711355852474	0.000969374202709603	-0.122387595699369	0.109758777036998	-0.000904443776916015	0.0364087014723926	0.0690930722628973	-0.299254796412982	0.348043150896966	0.199034026190997	-0.169570897892813	0.0672371862647359	-0.0133291795107693	0.380994949827506	-0.347038815657735	0.206043811898132	0.188273520711871	0.0935930220889991	0.144803576851489	0.0168833545288051	0.0459369056209359	-0.0539864996038555	0.178031321612695	-0.170711519353088	0.129589111534365	0.0696539307861722	-0.183816387059218	-0.17804050375893	-0.0865456319902373	0.129669225510371	-0.217187984729149	-0.0952147643731161	-0.234622760887117	-0.0149001073665584	-0.0428996993499032	-0.285218445273558	0.0711077122665906	-0.389938426909859	-0.427121298678553	0.0286253972105958	0.125707029898995	-0.133426904577204	0.143064490846409	-0.0802204238346302	-0.0673602689583715	0.00963926697764285	0.0737629493111896	0.111752695781547	0.0833436085790236	0.0683311328904912	0.0701556704783731	-0.312084749488785	-0.111525329016935	-0.112680675123958	0.0809598673675106	0.136625924118644	0.0700899916508152	-0.0436427410543316	-0.22698769262054	-0.206730548506543	-0.0408553613491875	-0.0566780111033842	0.00281506492727431	0.0672100751821654	-0.0169490080286031	-0.118516861835084	-0.21208215769004	-0.262966001814638	-0.170614258031508	-0.182518767651193	-0.434076211715274	-0.142873258658863	0.148339860506429	0.0176232776806598	0.0920549594785325	0.213168062472691	0.0571814790399517	-0.139080440172312	-0.00656726246245788	-0.242517693679518	0.0859257199346101	0.21971445012041
