cancer.type	nsamples	AGA	ARL8B	ARSA	ARSB	ASAH1	ATG10	ATG16L1	ATG2B	ATG3	ATG7	ATG9B	ATP6AP1	ATP6V0A1	ATP6V0B	ATP6V0C	ATP6V0D1	ATP6V0D2	ATP6V0E1	ATP6V1A	ATP6V1B2	ATP6V1C1	ATP6V1D	ATP6V1E1	ATP6V1G1	ATP6V1H	BECN1	CD63	CLCN7	CLN3	CTNS	CTSA	CTSB	CTSD	CTSF	CTSS	CTSZ	GAA	GABARAPL1	GABARAP	GALC	GALNS	GBA	GLB1	GM2A	GNS	GUSB	HEXA	HEXB	HIF1A	HPS1	HPS4	LAMP1	MAP1LC3A	MAP1LC3B	MCOLN1	NAGLU	NEU1	NPC2	PLBD2	PPARGC1A	PSAP	RRAGC	RRAGD	SCPEP1	SGSH	SLC36A1	SQSTM1	STK4	TFEB	TPP1	ULK1	ULK2	UVRAG	VPS11	VPS18	VPS26A	VPS33A	VPS35	VPS8	WDR45	WIPI1	IFI30
1	BRCA	1089	0.65759536250435	5.03599760464384e-12	2.7661365394745e-10	0.524905203759064	5.56920635695447e-14	0.97271199183869	0.0150869120987814	2.06998569768328e-10	7.58906383783855e-05	0.0983220166176443	2.4242658849633e-05	0.0198704813039797	0.311693058011332	6.6956659401837e-09	0.000158301983202015	0.0836090950604197	0.000301155139788706	0.0959868617487803	0.00301310078519246	0.000171141919003415	1.53443806002099e-32	0.289022238665092	0.0251786141082978	0.0184186250218466	3.80161311727947e-21	0.107085405332619	0.000128330203527247	0.79342670050483	0.924657817050405	0.0175782950682437	0.00148596422013103	0.111815709414103	0.039483613762276	0.000418570307650041	0.298070928464055	0.0348767715645375	1.7364846582875e-34	2.93061122224734e-08	4.79622097922525e-05	3.24225474439274e-05	0.0269092343390211	0.318149194994095	0.195718457232011	0.121450109400772	0.278401697491776	3.61784192176339e-05	4.52126077274062e-05	0.690153531310534	0.0726633952683531	6.02973665629682e-08	0.064062902422626	0.161254575290143	0.108608573549901	0.453933840102428	0.00563331367177123	0.38202141128997	2.75935973321555e-08	0.064401467822064	0.0190016697308973	6.47949306069372e-09	0.4322464541985	9.14769364550082e-10	0.0968390550395255	0.925434915459532	1.7606885944849e-05	0.000176657257082337	0.0223998936485915	0.806194007950613	3.9016623493283e-05	3.20899510161658e-07	0.000629194341107264	0.0839008338999859	0.797669895618817	4.8274131012561e-05	0.103538904054445	1.4016567586407e-07	3.03357993641317e-08	9.19526774335613e-14	0.481490626599143	0.397602731544098	0.0116291437527358	NA
2	COAD	478	8.60141403141309e-05	0.0412104807638957	0.00548859890412483	0.000659079225752547	0.574331129411663	0.000854489941202807	0.0688767632704828	6.05004932693239e-13	1.53612169271029e-16	0.000322096235545347	0.0139085494002657	0.996204837673489	0.000233837992786536	1.50052314829878e-20	9.21114454199195e-06	4.25135427167968e-08	0.00503039813540768	4.20894601630797e-05	0.199993371263939	0.303721755354968	0.0117148051217786	0.000145049958685068	1.58474435781797e-06	0.701931216100981	1.00899178427664e-06	0.874528417555833	0.690438411125928	0.000115044595595362	0.27848788544926	0.0552057085105074	0.212338527645848	0.918183311750208	0.0141151496987938	0.266059138303134	0.969314876738795	0.856737515368669	0.0366532247444547	6.56670208365896e-09	1.07564116406854e-08	0.447328645159652	0.701421558858868	0.774614172900115	0.00367689625652143	0.132628631329935	0.0156676952937751	0.485739913624238	0.0100120247992265	0.000360849842283016	0.0370785402799585	0.161913548284449	0.00057107402551044	0.00362081242668566	0.192030528753958	0.204040750362699	0.0327716156771264	0.000533172448340293	0.000241773816492147	0.00020799911617842	3.68683734262048e-09	0.0849308936629236	0.296874279377836	0.0111195311133532	0.977619168781376	6.41147146938304e-07	0.819085845841716	7.03817810218877e-05	0.00400749304930397	8.13253112308778e-07	0.00303494363750491	0.0126721373922254	4.86006061177048e-32	0.00500885819593366	0.129675260989529	0.00622184666028981	0.348302191199637	3.40200795001597e-14	0.0194229418511995	0.19985934789071	2.29559137445155e-10	0.202612925768968	0.041407132477194	5.49476252200034e-07
3	ESCA	161	0.0200911288695618	0.0081948257007788	0.0144796899544734	0.134291758483635	0.000649823103358108	0.00296473492649033	0.239146657032439	0.0316921206896783	0.242463783094781	0.0393414650209391	0.888666817094545	0.13187402287821	0.0464323379324014	0.844303246183854	0.00456125430918979	0.0336666683489569	NA	0.0322111355745319	0.209080175802673	0.748330462855849	0.207329521594989	0.0027926940039467	0.00502633612178703	1.10998444136847e-06	5.49031972563401e-05	0.547649001696252	0.000473587083064436	0.838907904071048	0.349168876198704	0.279012799060104	0.00049930041585712	0.67281649341581	0.000819973715629534	0.523019596603598	2.20415302223651e-07	1.69858394618659e-05	0.00090797911074623	0.502497812395699	0.341814449277818	0.000895032049163658	0.039182858744602	0.293090528070845	0.000158855307078197	0.00114837657932343	4.326810881713e-05	0.052353346040224	0.6696141583829	0.151879331883907	0.0174498075560959	0.0478122956741345	0.0756191429036852	0.983738485057884	0.000340841205799325	0.0322143758482115	0.160679066423804	0.198779437741192	0.593737092272096	0.115812564579586	0.638044683625031	0.000329734946819658	5.59226097770056e-05	0.0137605033328752	0.878643008093623	0.0451310847572513	0.246651369900036	0.0278123242764182	0.628129247157588	4.86078934717573e-05	0.0110350017553772	0.0321324298275363	0.908259203105216	0.372491514070206	0.7131128765045	0.00470344756029942	0.117896215388676	0.000749555476737993	0.00626149806477276	0.117476748495593	0.230290139020403	0.438769023601369	0.534660522685513	NA
4	GBM	156	0.0937388879444197	0.00194791199753795	0.0528470500747443	0.686820744705591	0.017284939343614	3.46470012566514e-05	0.000103061610102498	3.71095782117166e-05	0.00321593718253391	0.00741722809521954	0.757653743045843	0.664185206083454	1.1082002597204e-07	3.1119484592517e-06	0.156830884650956	0.325034781135857	NA	0.0436107120900828	0.00619333375071824	0.610338123332823	0.000574537918247282	0.124054809822431	0.387514074733528	0.000245063222831326	0.941874875776606	0.151402806629335	0.000746756907261758	1.24670927426589e-09	0.378332058082034	0.398761814824199	0.187136905411536	0.362153928760218	0.178730533704433	0.16790844731371	0.946963898252083	0.248089140050146	0.0702353638168425	0.000192210937580831	0.00265514158952632	0.63866568950001	0.770468947857027	0.753218901669163	0.000247574468607475	0.00909240863565006	0.070881512683994	0.00878728769854313	0.00932317246885141	0.000162238832006467	0.573316166960097	0.27078224324697	0.00151373493320748	0.0591823902045314	0.424026300169233	0.466403213289799	0.24677920280128	0.0219289841712257	1.09637874359874e-08	0.636356341900422	0.000271069334327917	0.00052675748733204	0.00709401854338556	0.0575912796236612	0.561809885257063	0.548031461873722	0.967643349889035	0.590662548097981	0.0122586287234674	0.0364811600508424	0.515855745752053	0.00243782808061362	2.14870722259697e-06	0.023266536794607	0.504350144244877	0.356806415868405	0.534207549869326	9.45000117363313e-07	0.00447182909411429	0.3216087748532	2.73882278731799e-06	0.982018204623881	0.268482238910926	0.0173667794202445
5	KICH	65	0.364168943284856	0.0335451064121352	0.861592767309442	1.22874805409805e-06	0.277644884430133	0.523887442947346	0.0311112814908562	0.0259647064983547	0.620505477479743	0.58791975456	0.101961607658063	0.435086877182436	0.127797944080028	0.0426272318631428	0.6450115826441	0.122241729749323	0.148838532564977	0.00321472736886791	0.19049847700436	0.00912787864444852	0.141426327591652	0.00295047301758468	0.00631643930536056	0.0848670749744618	0.882141301895651	1.74904215590017e-05	0.693435691946612	0.0393399938748319	0.365548813785814	0.00346520180889249	0.669720526345913	0.00159820382617092	0.130320575438003	0.337064609611396	0.101779108145102	0.672624124451974	9.78853399323006e-07	0.00403853985337308	0.00109482035554223	0.0777290501927361	0.466480086942787	0.00138129139959315	0.385096025332635	0.886374556508111	0.0220752900271734	0.735946723293584	0.174314483449055	0.339968580581611	6.08401393960071e-05	0.350223993227027	0.000276864363159051	0.0064856534633392	0.000258093929256548	0.650650610824562	0.0966247775549884	0.220972637025542	0.321813327845203	0.000191472482453789	0.719960795487231	0.226986557027917	1.66925956830708e-05	0.282099872164328	0.473688490268365	0.0429763858225996	0.0213161019052219	0.489761456529244	0.0798075080695244	0.618801833559235	0.0345966154052378	0.0373804469774638	0.0640440359649565	0.0393725023996405	0.0125533460652583	0.640072926038288	0.968577861928378	0.0111480353744037	0.00850643442190924	0.0155232115233973	0.0165387632459441	0.000672180076157251	0.015543785262371	0.721742061164046
6	LUAD	533	0.895587496496566	0.366356767465205	2.32608909409461e-08	0.862361487337349	1.79129720834130e-09	9.09696470316686e-05	2.05543243811852e-07	7.76617965190193e-18	5.32584900009782e-06	0.00892193985406589	3.79377126354254e-07	0.20234051110497	1.21878854415588e-23	8.82635930900592e-09	0.191049078304189	1.93248111961425e-05	0.0620338097599889	0.114356338246814	0.307600348888356	0.000919363051572729	1.71014643926892e-11	0.0337572142779133	0.00243897868627589	0.00119671023029612	1.61141547998657e-05	0.646641729838891	0.00612360148612761	8.41975164983559e-06	0.107217364165505	0.257646064442388	0.0208633060329034	0.316277966969724	1.0167887069754e-11	6.74491207449074e-07	7.73153875518168e-07	3.63434863231006e-05	0.000147946338187054	0.0986839152465433	0.318863161643392	1.90339452973794e-09	0.22218958877541	1.87664790344026e-09	0.414943079437378	0.585188237822465	0.504153834843275	0.0189547018867395	0.0869643783196709	0.249052788358052	9.24506432348575e-10	1.49003672488082e-13	1.03039328365352e-08	8.15061128231793e-06	0.000498806784041852	0.0261078979772419	0.767555194908267	0.181562457415864	7.54760225934053e-05	4.86918339284281e-12	0.0011965944313333	0.199208548850897	0.999067321597808	2.15739509170441e-06	0.707836307337838	0.447168536726803	0.00114327158539094	0.601833657802267	0.299896841620245	1.9263949098021e-06	3.47637146802281e-14	3.98520248701007e-12	0.74790674772789	1.87803660422198e-05	0.0634211092904841	0.274871183499217	0.124107663231844	7.64876172808955e-21	1.53835891079783e-31	0.811029461900633	7.82065855051987e-08	0.905865367303229	0.00105439215309064	0.0178940058193936
7	LUSC	502	0.0456923934435018	0.509317805248898	1.77775614960704e-11	5.53831575944379e-08	0.000121044732133318	0.00168326856327214	0.0295330764657251	9.30722034823914e-07	0.31535117890156	0.34270012853798	0.00597131178798921	0.924740527374505	0.00729300367982532	0.00993334682810449	0.0765268778589971	0.217115733173485	0.0131077726951995	0.558977257095311	0.0556363522679334	9.2327358236615e-07	0.943599156948539	0.506387075218067	0.0997660042307945	0.485845466477558	0.930216726281929	0.00235956394784601	0.00350600322447905	1.03037465819673e-08	0.00101531892833292	0.973973927648127	5.25069103235855e-05	2.23196094720918e-05	4.16258734054222e-11	0.00141393397682361	0.00048819937225278	3.51335926268834e-07	9.70675818174493e-14	0.0789384554646015	0.878957800048846	3.00936062389211e-05	0.0271636003330401	0.145494701782869	0.709786843198006	0.0279011654829067	0.000644530526665098	0.0217046861587132	0.127890769734895	0.0703925909852564	0.867710212601854	0.000388377606077755	0.283088905803872	1.93296982070522e-09	0.164150211083765	0.0666685974984989	0.524302011215486	0.00289140678639846	2.51906991469674e-05	4.92065864263317e-08	0.000120818553864282	1.26301194841538e-08	1.7692182243525e-07	0.124799617639877	0.846037584958496	0.696790450782688	2.47666452307281e-08	0.935432203344231	0.00124420317492218	1.26227436706623e-10	2.40231350219146e-12	3.30778065440458e-09	2.99394674325591e-05	0.83687185107525	0.697186075569927	0.142554168027233	0.0328546086131511	0.0662462723953168	6.39032027724382e-07	0.542112016580267	0.0421127543790474	0.563227163818637	3.14737869770375e-05	0.350258530571543
8	READ	166	0.196684526783521	0.990110362006706	0.116217535104807	0.159215781550314	0.990772757417262	0.64142800823969	0.376408588158567	8.97940322000426e-05	4.33120025185617e-06	0.0101472590018418	0.0289547790899926	0.389392764340839	0.864660695380224	4.10549417068735e-07	4.63484236875905e-06	0.00773856602913669	0.0151334560656043	0.230378497121927	0.0626893011191274	0.829066875205104	0.556737881018777	0.489681514839721	0.0217443347064588	0.0278770821884595	0.0961030705512118	0.372537397870123	0.0177568797135735	0.021737439212268	0.267551692356751	0.0958959293028914	0.00494249463735803	0.222365933806774	0.00234506500012197	0.848890384678258	0.583142612964819	0.00019555965588812	0.362617373817014	2.06821280471106e-07	9.53249708034761e-09	0.71428999888973	0.106572634477504	0.0865715817156241	0.0659447271546169	0.304225216382043	0.388523382892318	0.901903049993162	0.344926869292081	0.151730129066518	0.285722753256504	0.381706925174737	0.369095056681977	4.25357686145839e-05	0.152570054994671	0.148338189803728	0.299774932048286	0.0792181341600466	0.369544548428341	0.57662957950104	0.00327239398347345	0.00753239604863428	0.601235059774666	0.468261608048545	0.971285883659287	0.389584418053601	0.828412404835418	0.128307599941244	0.00608591951338804	0.00061951480902171	0.0279676219264053	0.0185913060764982	5.13736176024361e-09	0.0663109724798525	0.0564753204260172	0.82169781933736	0.23816353345087	0.00582465944316557	0.46431271852703	0.0739243318011802	0.933076471644031	0.00164310415700748	0.271006702775728	0.00445129911526765
