cancer.type	nsamples	ABCD4	ADA	AGA	ANPEP	ARL8A	ATG9B	ATP6V0D2	ATP6V1C1	B4GALT1	BBC3	BCL10	CD68	CLCN6	CLCN7	CPNE1	CP	CTNS	CTSD	DAB2	EGF	FLCN	FTL	GABARAPL1	GBA	GNLY	GOPC	GPC3	GRN	HSP90AA1	LAMP1	LAPTM5	LRP1	MAN2B1	MAP1LC3B2	MAP1LC3B	MCOLN1	NEU1	PIGR	PRKD1	PSAP	RAB7A	RILP	RNF13	RNF152	RPTOR	RRAGD	SGSH	SLC11A1	SLC15A4	SLC17A5	SLC36A1	SPNS1	SQSTM1	TMEM150A	TOM1	TP53INP1	TP53INP2	UBXN6	VAMP4	VAMP7	VCAN	VPS18	WDR24	WDR81	WIPI1	ZFYVE1
1	BRCA	1089	-0.189958683568971	0.129170190115813	-0.0134462156287876	0.0123330380781117	0.010966245746353	0.127555021296392	0.109321514235275	0.348972901374624	-0.0937319254512628	-0.0599932347977687	-0.0285813884291231	0.0881212669382978	-0.265442022733609	-0.00794425515338878	0.128747950015078	0.02819331384782	0.0719403847207805	-0.0624081435176416	-0.213621011102273	-0.106328892962015	-0.100612960577595	0.0611919130180087	-0.167056062644179	0.0302783970515365	0.0199149063187566	-0.0350090268854551	-0.098053188918438	0.0886598274382311	0.294346812396248	-0.0424800650910511	-0.0495455942261397	-0.228975815789779	-0.107473951061315	0.101658950120915	-0.0227162771859154	0.0838393099635837	0.167368648177692	-0.161605319959877	-0.078069993254554	-0.0238225664744475	0.14996565585226	-0.0224829062622566	0.150687354240301	-0.00941915664138436	0.385855331627388	0.0503403023173001	0.129697863869307	0.139129749392319	0.193803098382111	-0.127025168371322	0.113407420168301	0.205098098532257	0.0691940222233499	0.0635032221437367	-0.104044141236879	-0.0992724051279961	-0.148053719346599	-0.271937482043101	-0.167495685335669	0.167044656730677	-0.141264566913119	-0.049357946111431	0.0412945775865845	-0.178268035559173	0.0764365822179722	-0.213458238662862
2	COAD	478	0.0808086146485134	0.281708851486131	0.178637459997302	0.0128914755052312	-0.235585055460347	-0.112437686506528	0.128107776493915	0.115208028600641	-0.206344754643974	-0.194864229085629	0.0373721271134412	-0.1873581244821	-0.259609987214577	-0.17547892947639	0.0434747317148228	0.030087581993114	0.0877536660244927	-0.112197069323465	-0.322433513050392	0.20726060118251	-0.0436130594623765	0.00271160963270854	-0.261417298739889	-0.0131309137498444	0.226053973816054	-0.229970720347796	0.0677731765955983	0.142522533614129	0.147069968460334	-0.132832141610529	0.0659194751381958	-0.519794069685675	-0.161186593903118	0.0479555571286884	-0.0581972083436628	0.0976688472439073	0.167154321390642	0.12601545515604	-0.249950403954236	-0.0478109092461727	-0.0717027974695092	0.191237143901962	0.217220984138664	-0.189948872481171	0.0411899255043321	0.00128652299667047	-0.0104886243765785	0.055952790180186	0.158446303293247	0.059607803883654	-0.180784985572484	0.152041941957976	-0.131390031871883	-4.35384156614962e-05	-0.135701839358847	-0.310771943428906	-0.343814025699623	0.0178770283715181	-0.175001536213752	0.146388727997487	-0.259429943647536	-0.0429907027255658	0.290355934213476	-0.305525908974995	0.0933220425235424	-0.169546965407881
3	ESCA	161	-0.100808034334687	0.243123985015996	0.183082644337026	-0.188685945892371	0.0705691889188038	0.0111191627455033	NA	0.0999058251803157	-0.137540204139365	-0.0633328804319996	0.0296972903649098	0.196497791563921	-0.198203489501405	-0.0161463088503432	0.0401658047179293	-0.124493268627057	0.0858272958247901	-0.261142595583698	-0.175184664656219	0.23082713506138	-0.0717483244422976	0.00507915698934757	0.0532251548128946	-0.0833644851751643	0.103102188475985	0.0685232259215449	-0.0341746763191279	-0.157212796596209	0.322271507521745	0.00161895587418877	-0.110586800897749	-0.310616272179899	-0.228108667678851	0.245067640278632	0.168894272590074	0.111078521445198	0.0423511684816647	-0.298638454816416	0.0946631814522799	-0.312026083964614	0.244140605367813	-0.144937517390067	0.234794786044601	0.0588800257651044	0.259468350409899	-0.0121276864946439	0.0918267215803169	0.15666156730986	0.21212698504074	-0.298428288083418	0.173413695731119	0.189007772154	-0.0384585799435854	-0.0625136140628818	-0.0422203003946959	-0.314823814261967	-0.298749996405865	0.0981163625280662	0.151128083322467	0.0150470800857492	-0.0636088432122192	-0.12372414685572	0.228734042358131	-0.0902133373975438	0.0492886566071785	-0.0190218622015336
4	GBM	156	0.0783966632185361	0.203067520094761	0.134658225667434	0.141847978988202	0.0876869947290907	0.0249012729449198	NA	-0.272640272607167	-0.00399869449737088	0.102294010849197	0.35808417590966	0.226399959743304	-0.403759088929985	-0.462212247414459	0.159871377757948	-0.0355330631185344	-0.0680296569330588	-0.108213962296353	-0.15591443735321	-0.0625549734908622	-0.137098214497561	0.123707403547565	-0.294289690401565	-0.0253719737129093	0.0384456720380582	-0.0650360437685021	0.21701701595629	0.0442878321872856	-0.119470083072712	-0.151413350919483	-0.0333831199635684	-0.297338413399609	0.030337178987706	0.0823892961714699	-0.0587361822797188	0.0932787108072312	0.437788444519687	NA	0.206529461370496	-0.214770224251151	-0.173908130075333	0.151682400911826	0.0722217085545123	-0.0448194545943227	-0.191281574696621	-0.0468005307358297	-0.00327405577519951	-0.0751469479554666	-0.0186350521688269	0.0830535142646251	-0.0433932562257566	0.176085712914226	-0.200106210804156	-0.0911411391239969	-0.0356225590842044	-0.047067897576485	-0.290774632471861	0.0880876308625835	0.0806417835786411	-0.0937814621349193	-0.107781218045065	-0.0501394408615223	-0.0816151060196729	-0.20058273464875	0.0891364682383575	-0.0108700204757105
5	KICH	65	-0.255009943399113	0.251095546417348	-0.114404973946098	0.276291634477941	-0.00869783756075396	-0.204666157486279	-0.181091788117551	0.184402897833271	0.23751297614248	-0.0413466056253444	0.294721199357608	NA	0.163142654297351	-0.256274653365969	-0.0868909601546677	0.216209885067905	0.357445692641851	-0.189616858054631	-0.0685111125680194	0.127733039048699	0.371227518083874	-0.311880233640055	-0.351958912901102	0.388555006867559	-0.0616497481379068	0.383199117146096	-0.223669401995454	0.348809510822095	-0.190122233353055	0.334353214035324	0.188354330805942	0.201925283286565	0.252305607822828	-0.210354926582042	-0.0572346423654363	0.207852093066158	0.124826538758968	0.176293188225267	0.0835382178233925	0.50652052109185	-0.031273219990859	-0.160469410733036	-0.0500885071789156	-0.266663752850078	0.227889595489412	0.0904422129275886	0.285146091479272	0.157441508344637	-0.061911317992089	0.237305914632989	0.0871978670604663	-0.108684012269792	0.218888293991235	0.356309279336803	-0.226015123092567	-0.454550421251143	-0.138940490112397	-0.290565790336327	0.0356210185884309	0.260793076711702	0.412863183913979	0.00498262636858323	-0.493148888743198	0.275224545990953	0.298998022286449	-0.233484123341856
6	LUAD	533	-0.240821669878934	0.437088035676344	-0.0056978545914298	-0.0887987885450261	-0.00421804981850609	0.217860526824266	-0.0808851935163715	0.286019524710149	0.19357584555454	-0.100085176673683	0.060938682876052	0.118428031566902	-0.398176693045256	-0.191593457214654	0.157772235394646	-0.033857195524842	-0.0491168818469816	-0.289081768263382	-0.288469334726034	0.12881053443091	-0.133480665426705	0.194319764091323	-0.0716006241607175	0.256477987670644	0.16475464528814	-0.0478125303691106	-0.260164748479269	-0.121908748943257	0.273095753316325	-0.191887512000005	-0.0821069413944037	-0.303775685947804	-0.200698173291425	NA	-0.0963601614816022	-0.0128323445362082	0.170596350892168	-0.483088843294541	-0.149175514461817	5.07515331782146e-05	0.165123020331742	-0.0765520009279139	0.0339054903528578	-0.213350496424391	0.251664930188184	-0.0162699355449532	-0.140518935888388	-0.0743079225457022	0.346082015384613	-0.0331581038122534	-0.0226504477849986	0.183961101193052	0.0449853769629969	-0.0846165178976215	-0.12455274984154	-0.338719796554523	-0.0145805045862653	-0.169051015264021	-0.130409954766337	0.113470993467691	0.0958795373578477	0.0666901195493068	-0.0309970446410176	-0.247963183719548	0.141499526517494	-0.11161597099462
7	LUSC	502	-0.105642673030535	0.113486476481555	0.0892295719785593	-0.23448106066589	0.0382556769666905	0.122552263393357	-0.110660371247294	-0.00316547402026698	-0.109661885766878	0.0254603793982245	-0.0297748985898737	-0.0068332458703744	-0.272047747299118	-0.252039731633321	0.0148294966917163	-0.118830753412916	0.00145974676269576	-0.288908174263224	-0.295423226779212	0.152426321326742	-0.00767867114787863	0.158548962118821	-0.0784880030717067	0.0650613259431548	-0.0167593602742157	-0.289373095048773	0.19460674010224	-0.214893429690191	0.353361310995479	-0.263837924353367	-0.170027730723051	-0.38288408431334	-0.222716968589406	0.179236697751865	-0.0819176398010865	-0.0284838035383131	0.186846449559682	-0.21213215885755	-0.00526926537506924	-0.230501810822367	-0.0352143702214333	0.133490739389814	0.203896978989607	-0.159792721613196	0.334645042539093	0.00868802169245133	0.245611037082517	-0.165428163336655	-0.105128135200965	-0.108623598356703	-0.00362477839136849	0.264092061044783	0.14370678482801	0.0350705816129253	-0.216107614983682	-0.28265235288902	-0.0806975005972497	-0.0108796807310444	0.0764801655307686	0.072948055226819	-0.238216481028395	-0.0952594371105809	0.133504164742261	-0.265932119786395	0.184643407783643	-0.134828929353929
8	READ	166	0.134307389901913	0.307742557505875	0.100711355852474	0.0318391129516294	-0.372049979898313	-0.169570897892813	0.188273520711871	0.0459369056209359	-0.0824277411913371	-0.295817122410003	-0.0436112880132999	-0.35830330194947	-0.0325090953467635	-0.17804050375893	0.0240041450913185	-0.0282414874997386	0.129669225510371	-0.234622760887117	-0.283827824377689	0.102409903501245	0.120164833616515	0.0416608748956482	-0.389938426909859	-0.133426904577204	0.185085174089248	-0.307087900087756	0.0383110350089556	0.100417337049792	-0.00682552667929318	-0.312084749488785	0.121614823647395	-0.429178204570695	-0.102294877681207	-0.175709246976403	-0.112680675123958	0.0809598673675106	0.0700899916508152	0.130973160872433	-0.158378780830621	-0.0408553613491875	-0.155453572999145	0.0987055610588399	0.186937059543096	-0.195415424453572	0.0948646879579592	0.00281506492727431	-0.0169490080286031	0.0635774229766474	0.176149056268488	-0.0505634890079908	-0.118516861835084	0.2342584027284	-0.21208215769004	-0.0672767149747437	-0.200603660528356	-0.197078611600331	-0.324655946682089	-0.169532378300316	-0.139494951750442	0.194164225201547	-0.110383826830064	0.0920549594785325	0.270987532474496	-0.268122524499848	0.0859257199346101	-0.377670563909316
