type	subtypes	nsamples	AGA	ALC36A	ARL8B	ARSA	ARSB	ASAH1	ATG10	ATG14	ATG16L1	ATG2B	ATG3	ATG7	ATG9B	ATP6AP1	ATP6V0A1	ATP6V0B	ATP6V0C	ATP6V0D1	ATP6V0D2	ATP6V0E1	ATP6V1A	ATP6V1B2	ATP6V1C1	ATP6V1D	ATP6V1E1	ATP6V1G1	ATP6V1H	ATP6V1J	BECN1	C1orf85	CD63	CLCN7	CLN3	CTNS	CTSA	CTSB	CTSD	CTSF	CTSS	CTSZ	GAA	GABARAP	GABARAPL1	GALC	GALNS	GBA	GLB1	GM2A	GNS	GUSB	HEXA	HEXB	HIF1A	HPS1	HPS4	IFI30	LAMP1	MAP1LC3A	MAP1LC3B	MCOLN1	NAGLU	NE1	NEU1	NPC2	PGC1A	PLBD2	PSAP	RAGC	RAGD	SCPEP1	SGSH	SLC36A1	SQSTM1	STK4	TFEB	TMEM55B	TPP1	ULK1	ULK2	UVRAG	VPS11	VPS18	VPS26A	VPS33A	VPS35	VPS8	WDR45	WIPI1
1	BLCA	BLCA.1	41	-0.391637630662021	NA	0.118466898954704	-0.522822299651568	0.246515679442509	0.0527049396546486	-0.0361514003566054	NA	-0.0759614966529155	-0.30609756097561	0.295470383275261	-0.0692538874301236	-0.174659175216853	-0.171000479277148	-0.123693379790941	0.136068644233777	0.283449477351916	0.149128919860627	NA	-0.370383275261324	0.46602787456446	0.0844113420374714	0.332752613240418	-0.0266550522648084	-0.0242160278745645	-0.181881533101045	0.1801393728223	NA	0.55	NA	-0.225561948013883	-0.0393728222996516	-0.247571758586681	0.0574912891986063	-0.0185548151227878	0.0387664432170556	-0.184162384181698	-0.0785714285714286	-0.218118466898955	-0.0867671403240165	0.185469118222722	0.137979094076655	-0.0420750033066034	0.120034843205575	0.143031358885017	0.256620209059233	0.0752613240418119	-0.15993031358885	-0.0778745644599303	-0.0585365853658537	-0.445296167247387	0.118292682926829	0.224912891986063	-0.425261324041812	-0.244435733495505	NA	0.111938673393344	0.192429984066847	-0.0252613240418119	0.200174216027875	-0.161149825783972	NA	0.14390243902439	-0.424564459930314	NA	0.213240418118467	-0.128931092047735	NA	NA	-0.0668989547038328	-0.0121090687801589	-0.0672473867595819	0.203937626002533	0.0646369616014487	-0.264210113931528	NA	-0.149303135888502	0.0538327526132404	0.178840542005087	0.0522648083623693	-0.220905923344948	-0.0803135888501742	0.156794425087108	0.144250871080139	-0.00209059233449477	-0.248432055749129	-0.376132404181185	0.173867595818815
2	BLCA	BLCA.2	42	0.0904339371108163	NA	-0.147325769854133	-0.138973299413127	-0.0309562398703404	0.0444084278768233	0.00648324486937686	NA	0.232162392314058	-0.0965114866478335	0.144165316045381	-0.212155591572123	0.0611930628885918	0.252674230145867	-0.0471636952998379	0.187115072933549	0.0386532150554295	0.00145861188888413	NA	-0.390599675850891	0.0951339087527762	-0.208752025931929	0.0628849270664506	-0.0371135691727185	0.064097889117075	0.171629998925366	0.119282038913191	NA	0.133219885851418	NA	-0.0513049123291108	0.111340707518156	0.158988695888371	0.188809205616668	0.0864702784453138	-0.103793469875929	-0.0402918557625314	0.0766581581602439	-0.0667720109133625	0.0199359779733338	0.307022164845428	0.279243142727485	-0.0529151979689633	-0.086706373394779	0.080064829821718	0.345285847696405	0.196831571005531	-0.1388922654193	-0.0185590405018274	0.265305295789258	0.107856245783599	0.130059560092169	-0.185486811869766	-0.189627228525122	-0.197236740974666	NA	0.232910571932364	0.0830598436725687	-0.175607779578606	-0.00194481585184551	0.00340370355642285	NA	0.230622746431347	-0.00421376767899861	NA	0.0606134273825184	-0.0256919400528865	NA	NA	0.0592358494874612	0.117661359036653	-0.135488837678571	-0.274786273067005	-0.0589117135121536	-0.265305295789258	NA	0.0331429034752006	0.15194489465154	0.22349175497458	0.175519630629057	0.0838735818476499	-0.154450792234064	0.0899477331478549	0.305903326696534	0.132090761750405	-0.0681495888084198	-0.207771160172162	0.0368704671912378
3	BLCA	BLCA.3	31	0.0455645161290323	NA	-0.0278225806451613	-0.402822580645161	-0.173790322580645	-0.61491935483871	-0.0661356994993234	NA	0.168548387096774	0.261693548387097	-0.577016129032258	-0.113709677419355	0.157878819231617	-0.160483870967742	-0.0110909459806946	-0.124206069791412	-0.0487903225806452	-0.284101221324837	NA	-0.30103841266003	-0.323387096774194	-0.218951612903226	-0.0814516129032258	0.0866935483870968	-0.461290322580645	-0.275403225806452	0.133467741935484	NA	0.169354838709677	NA	-0.321370967741936	0.107661290322581	0.113139059326277	0.30873160538988	-0.237523945153058	-0.122025020012805	-0.191935483870968	-0.189333603139831	-0.368145161290323	-0.241532258064516	0.106048387096774	-0.0100806451612903	-0.286924086547369	0.0213709677419355	-0.208488760007013	-0.194354838709677	-0.0729838709677419	-0.436693548387097	-0.493951612903226	0.05	-0.133467741935484	-0.25241935483871	0.0669354838709677	-0.175	-0.245161290322581	NA	0.294615855959905	-0.161693548387097	-0.319991936297031	0.0193548387096774	-0.0911290322580645	NA	0.00483870967741936	-0.189112903225806	NA	-0.0133064516129032	-0.434493247379996	NA	NA	-0.432258064516129	0.173387096774194	-0.236693548387097	-0.173790322580645	0.0556451612903226	-0.437903225806452	NA	-0.228225806451613	0.133064516129032	0.465322580645161	0.00282258064516129	0.162903225806452	0.00806451612903226	0.143361226658594	0.165322580645161	0.128225806451613	-0.190322580645161	-0.261290322580645	-0.211290322580645
4	BLCA	BLCA.4	15	0.075	NA	-0.0678571428571429	-0.178571428571429	0.0142857142857143	0.117857142857143	0.242857142857143	NA	0.425	-0.121428571428571	-0.114285714285714	0.128571428571429	0.00357462162398539	-0.196428571428571	0.389285714285714	0.525	0.0178571428571429	-0.0785714285714286	NA	-0.103571428571429	-0.0285714285714286	-0.167857142857143	0.0178731081199269	-0.075	-0.192857142857143	-0.289285714285714	-0.321428571428571	NA	-0.0142857142857143	NA	-0.128571428571429	-0.157142857142857	0.321428571428571	0.503571428571428	-0.15	-0.023235040555905	0.254481921370092	-0.428571428571428	-0.167857142857143	0.1	0.0892857142857143	-0.0821428571428571	-0.428571428571428	-0.235714285714286	0.0107142857142857	-0.185714285714286	-0.239285714285714	0.0892857142857143	0.0285714285714286	0.107142857142857	-0.164285714285714	0.0178571428571429	-0.185714285714286	-0.260714285714286	0.359249473210532	NA	0.0679178108557224	-0.371428571428571	-0.425	0.139285714285714	0.107142857142857	NA	-0.257142857142857	-0.228571428571429	NA	-0.321428571428571	0.0966012279167457	NA	NA	-0.385714285714286	-0.246428571428571	-0.025	-0.0500447027357954	0.15	-0.114285714285714	NA	-0.0785714285714286	-0.492857142857143	-0.128571428571429	-0.178571428571429	0.0535714285714286	-0.107142857142857	-0.05	0.35	0.0857142857142857	-0.342857142857143	-0.396428571428571	-0.357142857142857
5	BRCA	BRCA.Normal	40	0.037057885355099	NA	0.351517426157148	-0.246822083858942	-0.207617975419833	-0.363619307121725	0.0615557860140921	NA	0.243444814752548	-0.17224072442608	0.336710760859368	-0.117078662354983	0.2628418635908	0.0824616540144469	0.0553496881325639	0.298043998639247	-0.0544115578252323	0.0251418922364867	-0.0375481144695143	0.22064824828439	-0.283784417967807	-0.119335772586547	0.248698344473605	0.207514423981748	0.137717529116278	0.179089075669601	0.393470306783	NA	0.266616633343638	NA	0.101675036814717	-0.394314663664509	-0.175157144197392	-0.150208753742235	-0.240442797769087	-0.100103199174407	-0.0986582852907082	-0.373094423225774	-0.172053098364614	0.0243913879906214	0.00910029083403696	-0.0846702317290553	-0.0837750364447112	-0.285473052521003	-0.127773347858563	-0.269149585173434	-0.217740044331662	-0.102819081683542	-0.347108213712689	0.179285111173656	-0.277874197031618	0.0652938693902788	0.000844317276598433	0.0605094048228877	0.0456869459670485	NA	-0.474220037537735	0.14906890583499	0.0369623341088647	-0.316806604785879	-0.245790140520877	NA	-0.0338665040946705	0.198883625154297	NA	-0.326094094828461	-0.24053912380486	NA	NA	-0.0962566844919786	0.15441624858678	-0.175524180501741	-0.094896331738437	-0.333145698470776	-0.131338243026423	NA	-0.397785908621822	-0.221867817683921	-0.0546017450042218	-0.305094286518435	-0.24410150596768	0.0096627421655154	0.302936485599024	0.243373833358749	0.132751665259405	-0.166244488225912	0.153579135003284	-0.0950326001326903
6	BRCA	BRCA.LumA	556	0.076312724428034	NA	0.30350466043055	-0.185337464337665	0.0897604614466693	-0.136189389308571	0.0205748818039753	NA	0.0448827192763563	-0.0766158218020195	0.0097646842473938	0.100322089304019	0.0161500329485307	0.190013314093341	0.16164599113388	0.143142181940716	0.208971478656902	0.137812309476935	0.141585793932649	0.193576461327122	0.105393544255763	-0.133440766095782	0.380138301221684	0.126637017393215	0.122048277463762	-0.0383919701592326	0.314720658019096	NA	0.147029748480742	NA	-0.0105201592936641	0.139920218714783	0.103035422283781	0.149247733867641	0.0887994781481933	0.0301378431748786	-0.11562787099213	-0.0190618014732925	-0.112799226892498	0.0493924238144706	0.401441070501001	-0.10413201797374	-0.141461549932956	-0.0757357826418478	0.0255627181129602	-0.038012738920208	-0.0299754669508114	-0.0367308288837426	0.155303311555624	-0.100844478052641	-0.101476850917651	0.0154353546692595	-0.138146698696454	-0.185391116565268	-0.134180486942242	NA	-0.0107794936099992	-0.0475795030948524	0.0202947649554433	0.0420225324351167	0.0950821314539618	NA	0.148381895657379	-0.0356285340003488	NA	0.0456532024187145	-0.0781049726269038	NA	NA	-0.0486824200965848	0.153740698432483	0.144349642627408	0.104552338647105	0.00172864306171191	-0.141388234797862	NA	-0.0917352772092648	-0.00590481841973126	0.0521049517755293	-0.0538550004311405	-0.0617286564433671	0.10169544420442	0.13059188697683	0.20349087646799	0.264414974661977	0.00361942102214769	-0.0384983808887648	0.131466644050722
7	BRCA	BRCA.Her2	82	0.0994242427599458	NA	0.153161732694819	0.044808933491264	-0.207999564649543	-0.0817592607721116	-0.0146714700865251	NA	-0.275085573112622	-0.213475258357854	0.101916096628069	-0.0172400657396556	-0.0966291890759685	-0.157110516156425	-0.0580216479201447	-0.12484830675145	0.0136046277503769	-0.0338982128555029	-0.18344045442641	-0.0432090031480005	-0.0586740385618257	0.113138547118045	0.102590335219852	-0.180507183282542	-0.111482368306487	-0.0910639363099231	0.192152808010448	NA	0.0173160644318677	NA	-0.194764484036283	-0.17584893339138	-0.0328470132405101	-0.0368915131697617	-0.071822723368679	0.0277873040591299	-0.114225535024232	-0.0742389447034034	0.139083587287767	0.0317482776278885	0.569327971255202	0.0644536351763169	-0.0619609166263167	0.0542555507183283	0.0190029440417265	-0.110992599042229	-0.152252938615586	0.141781988563328	0.00906622260691813	-0.172802420564273	-0.0372549126316322	-0.087276882890727	-0.193697248058767	0.0780579121805627	-0.000315632516698241	NA	0.0736737848190397	0.00638883749316784	-0.112495170306249	-0.206086265644179	-0.186546655713169	NA	0.0793643883326078	0.123181741503013	NA	0.00592076621680453	0.124661801798446	NA	NA	0.152698341870231	0.652793347811279	0.138996517196343	-0.0137570744449282	0.131966325460843	-0.0751535996007794	NA	-0.0782002514174151	-0.0373419822492346	0.0460937330046732	0.258520578363763	0.0373530692207227	-0.117075984568644	0.230844579886809	-0.144096343582584	0.155779277318241	0.0381804428632278	-0.20695472355246	-0.0976714065720088
8	BRCA	BRCA.LumB	207	-0.0163507912922965	NA	0.195155073829256	-0.215248097412481	-0.0892476260653338	-0.163843844981499	-0.031129057464583	NA	0.0026971053301837	-0.0686944486348533	0.0483218439172237	0.173699262133281	0.0744199859661999	-0.0372415593945915	0.137453898252927	0.0465026685297062	0.0258444193622269	-0.0199262574238951	-0.0494308115745587	-0.0223366296984217	0.0492891908989489	-0.176779021403366	0.282897440520037	0.0811723596050645	0.0700519162401469	-0.0352362590901404	0.313085657925999	NA	0.166853486794212	NA	-0.181866920597297	-0.0336713012102189	0.0404410757453349	0.0394059428049902	0.0167082981706618	0.0106934651690892	-0.131208011819767	-0.0749845087306504	-0.0957867806031242	0.00276307191090992	0.325120345165655	-0.0803338678619589	-0.0167403968407259	-0.0336607588908387	0.0217267406168764	-0.0976234092699567	0.0788631561430263	-0.0883412819211906	0.0289484774872454	-0.190159117038031	-0.157152820668273	-0.0926657146394358	-0.019280190873997	-0.0970419036590148	0.082940018900759	NA	-0.0547771127232941	-0.0412610062723277	0.00536106701807336	0.149155536073691	0.0295819080853444	NA	0.096542871638762	-0.0226538289557494	NA	-0.208421655763668	-0.0486580875453828	NA	NA	0.0488015740217663	0.288934069970687	0.0262872705725984	0.0922842809242314	-0.00166413157192533	-0.146434702021344	NA	-0.156934564570886	-0.12265812774694	0.0617276350717493	-0.0260592092401272	-0.117054625401657	-0.168541294463962	0.0990562798944279	0.0726801775222003	0.0337517905493304	0.00116996646366895	0.0501158298809929	0.0771351259935735
9	BRCA	BRCA.Basal	187	-0.199854380758263	NA	0.111446331742729	-0.28623651513689	-0.0923278790834129	-0.090505358402073	-0.0406454679466165	NA	0.138561913985722	-0.192060016921426	0.00553021523520852	0.0709494643642913	0.0240949815230349	0.0252806411300387	-0.106101215600381	0.171496550607246	-0.0780137223553486	-0.0521456518069718	0.0799921451811018	-0.0187717436534817	-0.144343220659761	-0.0559051263570899	0.0846929478057046	0.00678592696652696	-0.071234930569486	0.0115247385026753	0.00619132407166281	NA	-0.0366328952362655	NA	-0.191740837944612	-0.131079896296019	0.0090381193004306	0.128873043321919	-0.10056164774478	-0.0162381131529109	0.0530452219769318	-0.14708787551117	0.0447115194924906	0.0606913675634896	0.361417415676295	0.0238876595947744	-0.166378089813995	-0.064282620743932	-0.0943224224673764	0.0159813549330249	0.10448551403178	-0.0805367988248058	-0.132434686703713	-0.0651482939066862	-0.0465539642808116	0.0293752640897447	-0.0810616508431465	-0.0499416423816622	0.130530728832975	NA	-0.0173601584848092	-0.143862804290577	-0.148229472381271	0.113285463328921	-0.119578173129646	NA	0.246962030369149	-0.0546085670320987	NA	-0.2011532986093	0.00919930118701076	NA	NA	-0.000378040091519093	0.26031742536239	-0.0158704306332963	0.0501900530131089	-0.180670965800538	-0.0496815561312009	NA	-0.177586198195572	-0.132725348322848	0.143669720814142	0.0981340226145568	-0.0501165319361735	-0.0218561610526412	0.131448941578044	0.0627615101163459	0.00247379052887181	-0.0927464900521664	-0.0649193589086268	0.239535523889047
10	COAD	GI.CIN	225	0.203095106155248	NA	0.00696722326141613	-0.230657739446243	-0.207106013665714	-0.129798305565532	0.121798815837275	NA	0.110952877364168	-0.24558744282683	0.232712358627631	0.118207969626004	-0.00477041081089328	0.099249625340108	-0.0328625575915201	0.308600728564166	-0.20106901223609	0.110852353836734	0.0639793752181442	0.0497334845493299	-0.0604504980015965	-0.104567998750525	0.267456352534145	0.140006489720443	0.102297601786778	0.0244633932746241	0.278723359985113	NA	0.075971664440221	NA	-0.127152000452539	-0.0458025078626253	0.121529982683013	0.105795255479751	0.0767174975389661	-0.174331787246069	-0.251343470456172	-0.0805606029764747	-0.115357882115071	-0.00532584415858795	0.174854376910264	-0.282626256294565	-0.244241623084628	0.0593889460132575	0.167197248822267	-0.0511616048683488	0.0573909543948147	-0.0292602820544234	-0.191732305655192	-0.0701127216545881	0.0544247734002186	0.0473639061383851	-0.165477325523298	0.0343213970974445	-0.103450637211684	0.10838159115089	0.0159963800480272	0.0217911081448806	-0.0441987567889885	-0.0039123047438982	0.147440177394507	NA	0.247617457300705	0.0691886100357334	NA	-0.203355783005237	-0.182554188654408	NA	NA	0.114260926273801	0.122558546553665	-0.00499137025785762	-0.14439473529466	-0.0855739790375308	-0.0723744511127464	NA	-0.203701191826993	-0.457843586811381	-0.0941662366983612	0.0272618016363608	0.0209499016534038	-0.206786839309223	0.287949753172719	0.178765730612467	0.0740684162300536	-0.185462985182581	0.0194607060353168	0.163419443096835
