type	subtypes	nsamples	A2M	ABCD4	ABRAXAS2	ADA	AGA	ANPEP	ANXA1	AP5B1	APOA1	APOA5	APOE	ARL8A	ATG14	ATG9B	ATP6V0D2	ATP6V1C1	B4GALT1	BBC3	BCL10	CALR3	CALU	CAMSAP2	CD68	CDIP1	CES2	CLCN6	CLCN7	CLIP2	COL14A1	COL1A1	COL1A2	COL20A1	COL21A1	COL3A1	COL5A2	COL6A2	COL6A3	CP	CPNE1	CPQ	CTNS	CTSD	DAB2	DNAJC3	EDEM1	EDEM3	EGF	FADD	FAM49B	FAS	FBN1	FGG	FLCN	FTL	GABARAPL1	GAN	GBA	GLMP	GNLY	GOLGA6A	GOLGA6B	GOLGA8J	GOLGA8N	GOLGA8R	GOLM1	GOLT1A	GOPC	GPC3	GRN	GTPBP2	HSP90AA1	IGFBP3	IGFBP5	IL23A	IL6	ITIH2	KBTBD11	KBTBD8	KLHDC7B	KLHDC8B	KLHL18	KLHL21	KLHL24	KLHL3	KLHL35	KLHL41	KLHL9	LAMP1	LAPTM5	LHFPL2	LRP1	MAN2B1	MAP1LC3B	MAP1LC3B2	MARCH8	MBTPS1	MCOLN1	NCKAP5L	NEU1	P3H1	PDCD6	PIGR	PIKFYVE	PQLC2	PRKD1	PRSS23	PSAP	RAB7A	RAB7B	RILP	RNF13	RNF152	RPTOR	RRAGD	SCG2	SERPINA1	SERPINA3	SERPINC1	SERPINE2	SGSH	SLC11A1	SLC15A4	SLC17A5	SLC36A1	SNX16	SPARCL1	SPNS1	SQSTM1	SVIL	SYVN1	TGFB2	THBS1	TMEM150A	TMEM8A	TNC	TOM1	TOR1B	TOR4A	TP53INP1	TP53INP2	TRADD	UBXN6	VAMP4	VAMP7	VCAN	VEGFD	VPS18	WDR24	WDR81	WIPI1	ZFYVE1
1	BLCA	BLCA.1	41	-0.421254355400697	-0.316376306620209	NA	0.222744893281542	-0.391637630662021	-0.0489568361455717	0.352439024390244	NA	NA	NA	0.291289198606272	0.120905923344948	NA	-0.174659175216853	NA	0.332752613240418	0.117518948089456	-0.0853658536585366	-0.0386776427911634	NA	0.34006968641115	NA	0.203459252262106	NA	-0.0601942593889502	-0.00374580774779285	-0.0393728222996516	0.143031358885017	-0.379094076655052	0.043819148175683	-0.0761390367903519	NA	-0.311666822532107	-0.0745644599303136	-0.0177700348432056	-0.146260725780098	-0.0329268292682927	0.020383275261324	0.105749128919861	NA	0.0574912891986063	-0.184162384181698	-0.130754823940397	0.0619364955507143	0.194425087108014	-0.0213423929816104	0.00671697821448748	0.389999564810897	0.313428285501364	-0.13023782608876	-0.212552811735222	0.25951515238845	0.174216027874564	0.199991301159447	-0.0420750033066034	0.0291824557095489	0.256620209059233	NA	-0.00374695038445673	NA	NA	NA	NA	NA	-0.193031358885017	-0.251219512195122	-0.357839721254355	-0.0502635132668948	0.0345833878110177	-0.346704996191059	0.311434805076605	-0.157505009744801	-0.0662020905923345	0.21797273348986	0.143212059366875	NA	-0.0496602203043312	0.0844150190501727	0.282578397212544	-0.118390104116806	0.0349318350433705	-0.0054006968641115	-0.0219512195121951	-0.382072390274871	0.0831155266146175	NA	-0.215679442508711	0.111938673393344	-0.211246134613899	-0.103310104529617	0.0899864977551166	0.125435540069686	-0.0252613240418119	0.0623229594931928	NA	0.302613240418118	0.200174216027875	-0.130836236933798	0.14390243902439	NA	-0.277189773336671	-0.139466004749217	-0.155668801053624	NA	-0.297225489196958	-0.387456445993031	-0.128931092047735	0.245143306096167	NA	-0.343031358885018	0.147560975609756	-0.1	0.554529616724739	0.254703832752613	-0.0675646454644238	-0.111943549514419	NA	NA	-0.0556644453683635	-0.0121090687801589	0.30101063359906	0.178317871156557	-0.0548780487804878	-0.0672473867595819	0.481575051918839	-0.344425087108014	0.520451282921033	0.203937626002533	-0.00156794425087108	0.0228232937191099	-0.243770695458805	0.181358885017422	-0.0460821464786609	NA	-0.0412038852257213	-0.0529616724738676	0.0146341463414634	NA	-0.362907792495465	-0.0728286438864235	-0.017595818815331	-0.228765572781995	-0.189293958975671	0.138850174216028	0.19198606271777	NA	-0.0803135888501742	0.0821500133790638	-0.127444575233045	0.173867595818815	-0.226132404181185
2	BLCA	BLCA.2	42	-0.283618978394137	-0.143754305048914	NA	-0.186216117814208	0.0904339371108163	0.0705834683954619	0.0687978607590349	NA	NA	NA	0.163040395579715	0.402090677369059	NA	0.0611930628885918	NA	0.0628849270664506	0.104862236628849	-0.104939022005831	-0.352416839153172	NA	0.0200980590950683	NA	-0.199789239510953	NA	-0.250314006931283	0.101778696246582	0.111340707518156	0.13289574987611	-0.271544913313929	0.102814874029199	0.0391035136277743	NA	-0.330294558838429	-0.0107470235004499	-0.0239860621727613	-0.128773451217998	-0.0817632997713384	-0.245075795525085	-0.0380064829821718	NA	0.188809205616668	-0.0402918557625314	0.0901908351293356	0.0930270249132769	-0.108666585721868	0.0816822657775115	-0.127308251702293	0.124564389743706	0.146752562820509	-0.17284550883277	0.058587577536846	0.100042422099742	0.270572505388007	0.111624727486803	-0.0529151979689633	0.187512661715438	0.345285847696405	NA	-0.0867979579801621	NA	NA	NA	NA	NA	-0.034358413382604	0.11775670676487	0.0978930307941653	-0.0162074554294976	0.157623890886725	-0.00162074554294976	0.334820050990619	0.330374880136298	-0.274403339096375	-0.0458726752994756	-0.0284081702549026	NA	-0.159129589630297	0.0318135771475704	0.0172602406851289	0.159718001832813	0.283375876412656	-0.0334670394505082	-0.00113447591357655	-0.169280013104386	0.0101743016060316	NA	0.043192868719611	0.232910571932364	-0.190186783511726	-0.00421376767899861	-0.136137109629186	-0.0511324501047716	-0.175607779578606	-0.0653231866472987	NA	0.099837925445705	-0.00194481585184551	-0.0290912037838558	0.230622746431347	NA	0.106397633894715	-0.173736882764866	0.0403549289257944	NA	-0.309792958400225	-0.139378469382262	-0.0256919400528865	0.255926091218651	NA	-0.113047001620746	0.0588306795183267	-0.320826580226904	0.0696082006973039	0.107937279777426	0.0423876487307875	-0.214172845684487	NA	NA	-0.227462420672098	0.117661359036653	-0.0154781199351702	0.0642599571047287	0.321785989486605	-0.135488837678571	0.179011345218801	-0.250476074918936	0.216763954326626	-0.274786273067005	0.0330618694813737	0.145861188888413	-0.374660575205025	-0.263927717894201	0.00316032575924896	NA	-0.219440055283235	-0.057047931654135	0.156158833063209	NA	-0.34334103184456	-0.221790041104215	0.0863822374194714	-0.0450549005677543	0.0150723228518027	0.289210323968193	0.00542927758640205	NA	-0.154450792234064	0.0281199351701783	0.0329011345218801	0.0368704671912378	-0.0999149143885631
3	BLCA	BLCA.3	31	-0.185887096774194	0.0371042556445055	NA	-0.303225806451613	0.0455645161290323	-0.0508064516129032	-0.152031455556371	NA	NA	NA	-0.246774193548387	-0.266935483870968	NA	0.157878819231617	NA	-0.0814516129032258	-0.138306451612903	-0.40366972682209	-0.224193548387097	NA	0.0834677419354839	NA	-0.0405323662203565	NA	-0.254435483870968	0.240145177145409	0.107661290322581	-0.0717741935483871	-0.152016129032258	-0.11372609567553	-0.18913196990965	NA	-0.0822995566067959	-0.152092808042951	-0.0596774193548387	-0.05	-0.216532258064516	-0.225224318112025	0.212903225806452	NA	0.30873160538988	-0.191935483870968	-0.238306451612903	-0.0758064516129032	-0.1125	-0.0552475050695567	0.0809202230521575	0.14235306050769	-0.0745967741935484	-0.466532258064516	-0.0780320600799944	0.131255847600978	0.355277751578682	-0.0248008873122463	-0.286924086547369	0.109274193548387	-0.194354838709677	NA	-0.0383064516129032	NA	NA	NA	NA	NA	-0.42741935483871	-0.0500504795686366	0.215725806451613	-0.0842741935483871	-0.280241935483871	-0.0903225806451613	0.369780176657074	-0.00403225806451613	-0.0544354838709677	0.1125	0.0556451612903226	NA	0.307723337573453	0.0330678497496617	-0.367741935483871	-0.0790322580645161	0.260483870967742	0.0830645161290323	0.0629032258064516	-0.104032258064516	0.0270215774802377	NA	-0.366770845698992	0.294615855959905	-0.354838709677419	-0.285887096774194	-0.202258523975212	-0.267741935483871	-0.319991936297031	-0.100675905257817	NA	-0.314516129032258	0.0193548387096774	-0.230241935483871	0.00483870967741936	NA	0.0810483870967742	-0.062915911745031	0.103225806451613	NA	-0.0225829217802568	-0.249596774193548	-0.434493247379996	-0.209677419354839	NA	-0.219758064516129	-0.113709677419355	-0.0568548387096774	0.568548387096774	-0.195382600045257	0.0338743826703851	0.0782258064516129	NA	NA	0.221370967741936	0.173387096774194	-0.0625	0.193548387096774	0.104838709677419	-0.236693548387097	0.0903407963518394	0.0362903225806452	0.346370967741936	-0.173790322580645	-0.137903225806452	-0.145967741935484	-0.0120967741935484	-0.126612903225806	-0.0683536650313129	NA	-0.218951612903226	-0.183467741935484	-0.40608932558426	NA	-0.0955645161290323	-0.113306451612903	-0.2625	-0.030241935483871	0.129058280502628	-0.0415322580645161	-0.260887096774194	NA	0.00806451612903226	-0.0939516129032258	0.00604838709677419	-0.211290322580645	-0.196774193548387
4	BLCA	BLCA.4	15	-0.278571428571429	0	NA	0.217857142857143	0.075	-0.435714285714286	-0.275	NA	NA	NA	0.00357142857142857	-0.225	NA	0.00357462162398539	NA	0.0178731081199269	-0.210714285714286	-0.075	-0.264285714285714	NA	-0.492857142857143	NA	0.0857142857142857	NA	0.0393208378638393	-0.264285714285714	-0.157142857142857	-0.35	0.132261000087459	-0.138117980641829	-0.483874075844541	NA	0.05	-0.272403183438409	-0.335714285714286	-0.139911720650164	-0.253571428571429	-0.217857142857143	0.214285714285714	NA	0.503571428571428	0.254481921370092	-0.492857142857143	0.0321428571428571	0.314285714285714	-0.171428571428571	-0.142984864959416	0.0571939459837662	0.257142857142857	-0.160714285714286	-0.128571428571429	-0.10084252947086	0.00357142857142857	-0.100268938181739	-0.428571428571428	-0.303571428571428	-0.185714285714286	NA	-0.0607142857142857	NA	NA	NA	NA	NA	-0.471428571428571	0.150134108207386	-0.3	-0.0357142857142857	-0.235714285714286	0.160714285714286	0.528571428571428	0.114387891967532	-0.196428571428571	0.289285714285714	0.196428571428571	NA	-0.0142984864959416	0.107142857142857	-0.107142857142857	-0.375	0.278571428571429	-0.239285714285714	-0.632142857142857	-0.146428571428571	-0.0571428571428571	NA	0.375	0.0679178108557224	0.0678571428571429	0.178571428571429	-0.405719554322342	-0.146428571428571	-0.425	0.121537135215503	NA	-0.25	0.139285714285714	-0.460714285714286	-0.257142857142857	NA	-0.810714285714286	-0.414656108382305	-0.325	NA	-0.171428571428571	-0.314285714285714	0.0966012279167457	0.0321428571428571	NA	0.128571428571429	-0.0285714285714286	-0.157283351455357	0.264285714285714	-0.146428571428571	0.317857142857143	0.0357142857142857	NA	NA	0.185714285714286	-0.246428571428571	0.0107142857142857	0.325	-0.253571428571429	-0.025	0.242857142857143	-0.135714285714286	0.61662223013748	-0.0500447027357954	-0.410714285714286	0.325	-0.185714285714286	-0.228571428571429	-0.285714285714286	NA	-0.346428571428571	-0.264285714285714	0.0214285714285714	NA	-0.110714285714286	-0.242857142857143	-0.210714285714286	-0.178571428571429	-0.0142857142857143	0.0392857142857143	-0.128571428571429	NA	-0.107142857142857	0.267857142857143	0.103571428571429	-0.357142857142857	-0.560714285714286
5	BRCA	BRCA.Normal	40	-0.0859528963245554	0.102537642591343	NA	0.0173554106856345	0.037057885355099	-0.00197007364539634	0.135706914344685	NA	NA	NA	0.121405451182043	0.272245415187628	NA	0.2628418635908	-0.0375481144695143	0.248698344473605	-0.194662038771305	0.0464396284829721	0.105258220482605	NA	-0.0753318636787268	NA	0.162036613952185	NA	-0.172053098364614	-0.0909559996247303	-0.394314663664509	-0.40208264972232	-0.187719874497052	-0.0435869273370122	-0.106016090515014	NA	-0.288207148888263	-0.152223192618114	-0.0827469743878413	-0.166119204573048	-0.134165220394376	-0.0146355192794821	0.0797410761231853	NA	-0.150208753742235	-0.0986582852907082	-0.389529974669294	-0.213143205825738	-0.0603246083122244	-0.200759885768961	-0.0169801585627018	0.0679206342508073	0.0240161358676888	-0.0440962612485011	-0.162202730137632	0.308011472362605	-0.264565156206023	0.0896978799219372	-0.0837750364447112	0.126559714795009	-0.269149585173434	NA	0.0175430367471008	NA	NA	NA	NA	NA	0.0161365981799418	0.165955251366959	-0.151132792511119	0.0682020733430067	-0.140632329486819	-0.061259909068753	0.31653765267779	0.0507528496266391	-0.00117277290554524	NA	0.384817497627731	0.118850945677964	-0.0888451074209588	0.0319024164548536	-0.0969088607473534	-0.0913312693498452	0.127263345529599	-0.157418265570241	-0.564473005921419	-0.300431601997953	0.0469109162218097	NA	-0.269524837296366	-0.474220037537735	-0.0790880945679708	-0.270369154572965	-0.405028850659105	-0.284079181911999	0.0369623341088647	0.131722205434052	NA	-0.122713200112581	-0.316806604785879	-0.260800225438183	-0.0338665040946705	NA	0.330315681211454	-0.192879591187375	-0.323857772774181	NA	0.0302092128717516	0.213049392795005	-0.24053912380486	0.258725840883621	NA	-0.200300215780092	-0.27291490758983	-0.134252744159865	-0.0691402036503383	-0.235564520170963	-0.107285265399279	0.274027862771558	0.192504339064443	NA	-0.239223228369556	0.15441624858678	0.27893230785488	0.0104132464113807	-0.381068530838093	-0.175524180501741	0.0892203771460738	-0.120561054690051	-0.201595122803685	-0.094896331738437	-0.32693841210506	-0.286880247982001	-0.191106107514776	0.0516464959189417	0.224630544096822	NA	-0.014728645825106	-0.319433369646407	0.144753506421265	NA	-0.0660443736361441	-0.105544610188573	0.110230311111462	-0.300229863819582	-0.121024486349564	-0.135466016378682	-0.17430461110221	NA	0.0096627421655154	-0.293756157380972	-0.58173460357632	-0.0950326001326903	-0.416361760015011
6	BRCA	BRCA.LumA	556	-0.186338273194278	-0.103801429259847	NA	-0.00859010869553334	0.076312724428034	0.080746188521267	-0.0504370880457325	NA	NA	NA	-0.061670890432887	-0.0419542291382531	NA	0.0161500329485307	0.141585793932649	0.380138301221684	-0.110959488276353	0.0178866659896888	-0.00490029998350002	NA	0.103539910357122	NA	0.0190076246467546	NA	0.00569131463622186	-0.24364400914802	0.139920218714783	0.0419124017445873	-0.145356276943777	0.0506942084470812	0.0843179868025822	NA	0.00693458212569214	-0.018213656562962	0.0614166636412917	0.0199883542730346	0.0329653318791503	-0.0495914515528515	0.0257504091038133	NA	0.149247733867641	-0.11562787099213	-0.0744658197791632	-0.0463834432198885	-0.0754092573313524	-0.300601707876008	-0.0852031970250664	0.290866101457625	0.157175195465233	-0.102239784252317	0.0400019143782235	-0.0319269382089365	-0.142207520523284	-0.00251790824977882	-0.141461549932956	0.0499860837484865	-0.038012738920208	NA	-0.0646810282889098	NA	NA	NA	NA	NA	-0.140400435161155	-0.0419813827492893	-0.0389035446762504	-0.112929608913279	0.140413223899587	-0.102556358279102	0.257634134249214	0.0230541578794407	0.0204726547480433	NA	-0.0799470814909557	-0.167213291693033	0.019639058193017	-0.0677226323584755	-0.0195759408395865	0.152488600361955	0.0294317010026867	-0.166773009074979	-0.146217227614594	-0.29446358557892	0.0663275896196708	NA	-0.188868021655805	-0.0107794936099992	-0.0787752229225875	0.0397242451597863	-0.0887450316008509	-0.177814001374481	0.0202947649554433	0.0193411020481879	NA	0.00334137779502337	0.0420225324351167	-0.00211204250664263	0.148381895657379	NA	0.0992511235206837	-0.155502367958994	-0.139441356141808	NA	0.0559798136463105	0.0121900342705883	-0.0781049726269038	0.166287143497049	NA	-0.0811206570662987	0.170054712885728	0.046165589316975	0.36034267629972	-0.0834687752404453	-0.147325331919455	-0.0614110131420786	-0.0371349583203974	NA	-0.0309864257936495	0.153740698432483	0.0882980375442285	0.258231515603302	-0.174984745050372	0.144349642627408	0.052611201621007	-0.0922540163468342	0.194971901439855	0.104552338647105	-0.111375958645922	-0.0691987663392861	-0.0720035367736914	0.11394485076717	0.175727497926724	NA	-0.0538998039547057	-0.083850557062869	0.169259275937769	NA	0.0733478910361748	-0.0853001787585405	-0.119635857947187	-0.295960365549758	-0.171196320128351	0.19467586455353	0.0430840447292436	NA	0.10169544420442	0.230113827615925	-0.135095201897801	0.131466644050722	-0.100385028739911
7	BRCA	BRCA.Her2	82	-0.039993034284296	-0.124400716149447	NA	0.167263466090295	0.0994242427599458	0.115584917367202	-0.141542547114922	NA	NA	NA	0.135215590825642	-0.0631594986941815	NA	-0.0966291890759685	-0.18344045442641	0.102590335219852	-0.057620200832193	-0.0953744013931215	-0.0367276526758004	NA	-0.237474082905578	NA	0.119944705889898	NA	0.017892903787549	-0.0875068704982283	-0.17584893339138	-0.130339194272687	0.021582381463198	-0.0158918892262502	-0.0879666358708643	NA	-0.152697885828344	-0.0329761220367216	-0.0614071844963936	-0.0417417238392786	-0.0660429730821521	-0.00232911227086453	0.218261763924847	NA	-0.0368915131697617	-0.114225535024232	-0.0727575492090159	0.019634198769344	0.010121898127993	-0.183892033086635	-0.0711047742493689	0.197619682541832	0.112755154795124	0.0837509999522629	-0.123946298660923	-0.0957867721340827	0.224577977570741	0.137451763429044	-0.0619609166263167	-0.075653025685677	-0.110992599042229	NA	0.0844049478499702	NA	NA	NA	NA	NA	-0.201763169351328	-0.0280908353789783	-0.0352089682194166	-0.0264373758635053	0.0954324555937814	-0.154288202002612	0.088116168582292	-0.0829120433618972	0.00881603866205084	NA	0.111618491079094	-0.26690608509027	-0.136420777716416	0.22573903978902	0.106333770496946	-0.0579998802788316	0.0384851898416117	0.0558769270963482	-0.034044405746626	-0.228732204492105	0.0964213413668005	NA	-0.075358754034888	0.0736737848190397	0.11285495053945	0.0156942985728348	-0.100180127233347	-0.000391813279210856	-0.112495170306249	-0.0617482183162063	NA	-0.124424514858424	-0.206086265644179	-0.151035601180051	0.0793643883326078	NA	0.127133217239878	0.0458330159043595	-0.0564976055724858	NA	-0.107534488897255	-0.134674931026531	0.124661801798446	-0.0541218599494166	NA	0.0497393310796883	-0.0910208968219417	0.112711619986323	0.556472809799218	0.00937096958530193	0.107525185093094	-0.0119720724203317	0.0430468100241522	NA	0.0306160208968219	0.652793347811279	-0.0574560019189659	0.0433609055289508	-0.189736612973444	0.138996517196343	-0.000903366946685691	-0.0276446035887659	0.091483989136465	-0.0137570744449282	-0.030931481653257	-0.0167064828774629	0.0294841097083152	-0.110659396100486	0.109676857612696	NA	-0.0578036569438398	-0.137950925388822	-0.0880288205191507	NA	-0.064279145194981	-0.15107831453377	0.00612759102964575	-0.0935029032605446	-0.227031056985605	0.0170767146101495	-0.119131452249484	NA	-0.117075984568644	-0.0496734871571615	-0.0260339573356552	-0.0976714065720088	-0.157583112501069
8	BRCA	BRCA.LumB	207	-0.113917910920216	0.0527814899489709	NA	0.128005019506196	-0.0163507912922965	0.0290739147890816	-0.0675339540226463	NA	NA	NA	-0.024420833880242	-0.0848640827139857	NA	0.0744199859661999	-0.0494308115745587	0.282897440520037	-0.0897719020477112	0.0119124407363747	-0.00556369208084387	NA	-0.0839603719280024	NA	-0.0378678406431598	NA	-0.0213959217966711	-0.0410813553317184	-0.0336713012102189	-0.0864064573829171	-0.0797902655876029	-0.0693973196620007	-0.0897052714573829	NA	-0.0546546030661868	-0.100890818061506	-0.0886184699875938	-0.0392142470796648	-0.0772972385169927	0.0455229163756552	0.159263656350414	NA	0.0394059428049902	-0.131208011819767	-0.153761802404756	-0.0326998803312975	0.0194388635210553	-0.255851427075466	-0.0545400304215967	0.128885124679485	0.194203346593397	-0.130862566468761	-0.116112491311668	0.111189869006781	-0.0602743599582341	-0.0111107729969379	-0.0167403968407259	0.127236142084723	-0.0976234092699567	NA	-0.146415761664234	NA	NA	NA	NA	NA	-0.0988791134378928	0.0793923318336964	-0.0685388591502671	-0.000193134034343535	0.00153697171260247	0.0132805592555016	0.151340683560842	-0.156721069940455	0.00697959376928938	NA	0.0144075764324181	0.0289438213059401	0.0891155015296264	-0.0218475616042776	-0.11201124036054	0.170198444778395	0.0693996321999677	-0.0444336508937365	-0.19978339267152	-0.193799144465826	0.0460397295444188	NA	-0.116909481850343	-0.0547771127232941	-0.099757145273127	-0.05931401365534	-0.127080423069975	-0.167064490804843	0.00536106701807336	0.0758005551479183	NA	0.0599750312616895	0.149155536073691	0.00738745887447586	0.096542871638762	NA	0.0738947830560559	-0.0818361362873416	-0.0935881213477106	NA	-0.0634534395316053	-0.11737614979917	-0.0486580875453828	0.124668479886223	NA	-0.0947589633408864	0.127423520080548	-0.0142090213367045	0.416605868364025	0.0810177480855573	-0.0611349355041455	-0.138795150077752	0.036332659786383	NA	-0.0747342889449429	0.288934069970687	0.0967857809679448	0.103804919892294	-0.1046365988962	0.0262872705725984	0.146207207266116	-0.0695552878964889	0.275016954687377	0.0922842809242314	-0.0725763326310433	-0.123687806527989	-0.0805148136968981	-0.100154374559654	0.0739606012936993	NA	-0.0652954507018434	-0.0912420091324201	0.0522447756413247	NA	-0.10962478306302	-0.188038093666139	-0.0645203842935135	-0.210984076431015	-0.10162837980223	0.0469954337899543	-0.0973418880520251	NA	-0.168541294463962	-0.0339645194972468	-0.0679459279187897	0.0771351259935735	-0.105538038584863
9	BRCA	BRCA.Basal	187	-0.268919352960013	-0.0685884719216678	NA	-0.00933269531023529	-0.199854380758263	0.0458296458299259	0.0412229997655985	NA	NA	NA	0.15218548248006	0.0129194105886437	NA	0.0240949815230349	0.0799921451811018	0.0846929478057046	0.00742782871152411	0.00468193575679381	0.00901429542107477	NA	-0.0166169185274797	NA	-0.012357885951536	NA	-0.14636444758498	-0.115578435843925	-0.131079896296019	0.0241689070772506	-0.265718018924465	-0.12763821298143	-0.109417468986625	NA	-0.18653998889237	-0.116112580315901	-0.122627598586584	-0.0643587138411776	-0.185637371777233	0.0561972710435306	-0.0665094556031675	NA	0.128873043321919	0.0530452219769318	-0.183707213589193	-0.0654955660495587	-0.00389050789480135	-0.0525869801094671	-0.0114456255965811	0.0980326126984552	0.155165096925728	-0.143845634357223	-0.213839576962023	-0.0329144926801623	0.091687530079802	0.0251342484825892	-0.166378089813995	-0.0359928685930415	0.0159813549330249	NA	0.0847132273513529	NA	NA	NA	NA	NA	0.0108714153255954	0.171077859013202	-0.0316453024783682	-0.0428442311592425	-0.0519687156425229	0.0884632977330054	0.17339166810569	-0.0219983547915643	-0.10139999862603	NA	0.0362337292460352	-0.0454873565173045	0.0245495232016001	0.0334922610032515	0.127381109679907	-0.050937924523111	0.00128827668219422	-0.0268491046551946	-0.160812015435566	-0.306764330206906	0.123854690499672	NA	-0.0976958364665555	-0.0173601584848092	-0.00851923813633298	-0.103986860336016	-0.226480606046243	-0.0233247280196349	-0.148229472381271	0.0579553615703681	NA	-0.100572612504994	0.113285463328921	-0.187461805969738	0.246962030369149	NA	0.04583736109669	-0.0565844348449727	-0.144929484415001	NA	-0.0455874492777626	-0.152769417671972	0.00919930118701076	-0.118754777210169	NA	-0.00954469107563604	0.0748445975364791	-0.0799866768395689	0.542079249938465	0.0580874465857795	-0.218978400468742	0.0862205889439407	0.191394215637727	NA	-0.0258278577137298	0.26031742536239	0.0987199838506923	0.105719990420898	-0.0850443394231932	-0.0158704306332963	0.0461050874662305	-0.295577667017065	0.0804677385239677	0.0501900530131089	-0.176838264980588	-0.0912812089958984	-0.129289489778002	-0.0414658316706587	-0.0943266553480024	NA	-0.149845526224819	-0.0318205445709252	0.0263009995639158	NA	-0.107926317050032	-0.147571775021648	-0.00571742382850126	0.00484984341580397	-0.119844066637943	0.0649568602838695	-0.229578466366314	NA	-0.0218561610526412	-0.112437725123008	-0.0444134915055283	0.239535523889047	-0.0666477645757142
10	COAD	GI.CIN	225	-0.289594007966714	0.0343610580472549	NA	0.275583881579754	0.203095106155248	0.0209746042833144	-0.0706457668956362	NA	0.0971748843927185	NA	0.00385167368970925	-0.234690354151733	NA	-0.00477041081089328	0.0639793752181442	0.267456352534145	-0.16528400381385	-0.166834001708344	-0.0732044766403435	NA	-0.177920706285762	NA	-0.160810370605875	NA	-0.0999116357655261	-0.142261895990347	-0.0458025078626253	-0.388022348466272	-0.280521800326838	-0.237726644308896	-0.240592796224706	NA	-0.108330904882052	-0.247476884659796	-0.247385486728724	-0.22840244291844	-0.278149878083576	-0.0159979434110161	0.0780795666215666	NA	0.105795255479751	-0.251343470456172	-0.215326067890082	0.0209912304545164	-0.237220500297094	-0.344537204259513	0.25666337491936	0.33154108369128	0.459140277440154	-0.0254195147032573	-0.264781317672405	NA	-0.015804548884969	0.00423765979508295	-0.244241623084628	-0.00722456193032142	-0.0511616048683488	NA	0.0615499941172336	NA	NA	NA	NA	NA	-0.0274156934046897	0.113456030739013	-0.156220032117403	-0.0670471195818929	0.117280627425632	-0.1111876379459	0.0637467845364461	-0.245133115359304	-0.331222073412122	0.0821120333911688	0.0309826175686257	NA	-0.0473811770072722	0.286409215724559	0.0822498506126291	-0.11555061914499	0.0688593372255029	-0.138098372330982	-0.255787603123817	-0.184024279727126	0.194739977813885	NA	-0.0871946754882252	0.0159963800480272	-0.0520956546130494	-0.255175062147862	-0.46723396099749	-0.303374174958949	-0.0441987567889885	0.122042144964404	NA	-0.249188061775737	-0.0039123047438982	-0.295855988646767	0.247617457300705	NA	0.172338547677444	0.107909200690526	-0.330280291623662	NA	-0.259939778840832	0.0204752232415644	-0.182554188654408	0.0278197950322241	NA	0.101438442292239	0.222881757700069	-0.244068099479957	0.183631398171825	0.00550113362678886	-0.304946845346437	-0.100808683976409	NA	NA	-0.107756665769431	0.122558546553665	0.0477547422359085	0.172322426377883	-0.0914437798450684	-0.00499137025785762	0.271513553988503	-0.210688821528058	0.197144873437092	-0.14439473529466	-0.295664495534755	-0.187672135948906	-0.319202871081785	-0.160053066131713	0.112435579659959	NA	-0.205496701684032	-0.0873383228466664	0.118770504238596	NA	-0.254962770988651	-0.243076216405162	-0.156086249631103	-0.0861561047537282	-0.137620258329996	0.261314530719525	-0.282207595219436	NA	-0.206786839309223	0.13452916215962	-0.286978027405643	0.163419443096835	-0.189472647323254
