type	subtypes	nsamples	AGA	ALC36A	ARL8B	ARSA	ARSB	ASAH1	ATG10	ATG14	ATG16L1	ATG2B	ATG3	ATG7	ATG9B	ATP6AP1	ATP6V0A1	ATP6V0B	ATP6V0C	ATP6V0D1	ATP6V0D2	ATP6V0E1	ATP6V1A	ATP6V1B2	ATP6V1C1	ATP6V1D	ATP6V1E1	ATP6V1G1	ATP6V1H	ATP6V1J	BECN1	C1orf85	CD63	CLCN7	CLN3	CTNS	CTSA	CTSB	CTSD	CTSF	CTSS	CTSZ	GAA	GABARAP	GABARAPL1	GALC	GALNS	GBA	GLB1	GM2A	GNS	GUSB	HEXA	HEXB	HIF1A	HPS1	HPS4	IFI30	LAMP1	MAP1LC3A	MAP1LC3B	MCOLN1	NAGLU	NE1	NEU1	NPC2	PGC1A	PLBD2	PSAP	RAGC	RAGD	SCPEP1	SGSH	SLC36A1	SQSTM1	STK4	TFEB	TMEM55B	TPP1	ULK1	ULK2	UVRAG	VPS11	VPS18	VPS26A	VPS33A	VPS35	VPS8	WDR45	WIPI1
1	BLCA	BLCA.1	41	0.0118227259806593	NA	0.459338706639348	0.000544393300808268	0.120131647135085	0.743465736150829	0.822448794937284	NA	0.636903871984516	0.0520415551167773	0.0610845024875649	0.667017505054936	0.274744987285428	0.28508136388914	0.439647698008264	0.396284470960864	0.0727906215181699	0.350803008151036	NA	0.0176726248722649	0.00236928261049036	0.599778305611573	0.0340533152843294	0.868431164453199	0.880416886457255	0.254109930790202	0.258746744916119	NA	0.000246494027978555	NA	0.156195166807718	0.806467939474985	0.118614618311606	0.720277336572277	0.908330679190156	0.809833960271531	0.249058725111804	0.624241724117745	0.170196167716089	0.58959823182726	0.245657398846114	0.388296810472357	0.793941792530537	0.453381582490767	0.371022756991993	0.10532326027902	0.638966968306208	0.316688649472842	0.627329937945059	0.715397361516836	0.00383464231716335	0.460003226786684	0.157026074844857	0.00595362818954215	0.123506939620312	NA	0.485936744728558	0.228067192853065	0.875276728921891	0.208803112766826	0.312974561641226	NA	0.368092011013401	0.00604282298506421	NA	0.180134977520866	0.421747944730435	NA	NA	0.676777920363888	0.940102746932752	0.675185735121824	0.200916382604133	0.688052417929511	0.095065503975655	NA	0.350235457959089	0.737443439123362	0.263236878114932	0.7448400320403	0.164699125242363	0.616549279011084	0.326367492711844	0.366923642313237	0.99003457565065	0.117208035019426	0.0158886155495733	0.275908501614085
2	BLCA	BLCA.2	42	0.568975485812198	NA	0.351822324286076	0.380084942413482	0.845697118155079	0.780051542887089	0.967496298315743	NA	0.139012721183627	0.54317934097948	0.362362238578689	0.177386736008725	0.700260101649015	0.106437114651072	0.766774589777263	0.235399925214343	0.807980278595561	0.992685411541254	NA	0.010543477325944	0.548977034343371	0.184604209861731	0.692375142014743	0.815493470848024	0.686741728547142	0.277120170697541	0.451811035123474	NA	0.400310597498269	NA	0.746943484632887	0.482690631609723	0.314567248955234	0.231110463885932	0.586096597150568	0.513028696751371	0.800002695935382	0.629436636736093	0.674381513446807	0.900275622442255	0.0479581076284823	0.0733089446390859	0.73927481603529	0.585070371351624	0.614239747074673	0.0251199383635597	0.211524909211607	0.380365544611501	0.907132263648192	0.0894951253466824	0.496579604308851	0.411680056779767	0.239573379616817	0.229058513760264	0.21056735806878	NA	0.137707887261085	0.601009325310958	0.265968494777504	0.990247317597069	0.982932266110136	NA	0.14172665760201	0.97887105801042	NA	0.702968714998161	0.871696053389285	NA	NA	0.709420598661762	0.458024248515833	0.39226109624129	0.0782123440910997	0.71094162635669	0.0894951253466824	NA	0.83494349984376	0.336757851097461	0.154808596173292	0.266212351822388	0.597436162178801	0.328754930980355	0.571063234529293	0.0488194891148191	0.404351679161942	0.668046716723832	0.18672245882058	0.816681275894156
3	BLCA	BLCA.3	31	0.80737111244736	NA	0.882008765867482	0.0254481157809856	0.348286920072524	0.000310121230465304	0.72372613154736	NA	0.363199095164561	0.154637055066916	0.000840049446168668	0.540992552613243	0.39630023506081	0.386877159483449	0.952780202745846	0.505592225651875	0.793960128782552	0.121401099241019	NA	0.0998335838150906	0.0764052528332042	0.235647158817232	0.662058443689189	0.641683052201052	0.0096434326704349	0.133576368106298	0.472525736520896	NA	0.360880267224046	NA	0.0783376542804466	0.562862800225382	0.544517431926396	0.0910526159115361	0.198220699535002	0.513152054054956	0.29961324510459	0.30767676893334	0.0423193571838257	0.189859729959065	0.568763333064728	0.957668811399207	0.117585626893126	0.909437203857113	0.26036155357364	0.293470512950863	0.695481225675816	0.0147736346719731	0.005231873647413	0.788945853641701	0.472525736520896	0.17019531465486	0.719712508801081	0.344899548310565	0.183134198440407	NA	0.107641903384972	0.383268917109722	0.0792765303143389	0.918031442988219	0.624641965715048	NA	0.980123262071892	0.306883142037654	NA	0.943865636317401	0.01458806443732	NA	NA	0.0159084747348613	0.349420544012475	0.199096312137634	0.348286920072524	0.765659956309616	0.014476246781376	NA	0.216010368674275	0.473875512375902	0.00896787421153692	0.988764561296178	0.379680561855354	0.966302253576983	0.441663524640083	0.372563686257444	0.490230585349551	0.303753841044505	0.155291137897046	0.252757757599932
4	BLCA	BLCA.4	15	0.792571061577752	NA	0.812442880003941	0.523513367920213	0.964221530060938	0.67630520176269	0.381991519973606	NA	0.115905942942724	0.666889120976749	0.685767940753034	0.648201799187281	0.989912396489255	0.481914203143901	0.152477188732099	0.0471043400592299	0.954008355053701	0.782680528604611	NA	0.714423627861307	0.923416534180934	0.549254918645965	0.949590328084518	0.792571061577752	0.490099813327133	0.294889364761484	0.24241546166546	NA	0.964221530060938	NA	0.648201799187281	0.575553597973424	0.242415461665461	0.0581868103840016	0.59338267588306	0.934493893124585	0.360035735127804	0.112629714701313	0.549254918645965	0.724060433819824	0.753207284938775	0.77282212722531	0.112629714701313	0.396553278906184	0.974440096881549	0.506673970534301	0.389234502669614	0.753207284938775	0.923416534180933	0.704828419246109	0.557960500615536	0.954008355053701	0.506673970534301	0.346927566350098	0.18848118889773	NA	0.809941904286843	0.173470860222355	0.115905942942724	0.620550663675233	0.704828419246109	NA	0.353785685715614	0.411416373585749	NA	0.24241546166546	0.731990060110758	NA	NA	0.156527747104255	0.37482475819644	0.933604324829569	0.859416515552849	0.59338267588306	0.685767940753034	NA	0.782680528604611	0.0644110981761851	0.648201799187281	0.523513367920213	0.852509376815679	0.704828419246109	0.862584774457332	0.201154828000983	0.76299725218841	0.210999634976269	0.144594976338457	0.191620173026864
5	BRCA	BRCA.Normal	40	0.82040779982518	NA	0.0261341685955827	0.124684474326481	0.19861264250027	0.0210891965463659	0.705931325868307	NA	0.130093255423113	0.287885905948428	0.033629130469976	0.471851224732545	0.101296591277512	0.612956023964092	0.734442564660665	0.0617724147532602	0.73878423972842	0.877615056524974	0.818071715677283	0.171255090511881	0.0759669990577942	0.463290215406942	0.121753277801714	0.198841656508107	0.396754821518955	0.268851653605875	0.0120099415731493	NA	0.0963090282300673	NA	0.53244406656244	0.0118115492172636	0.279676045620888	0.354891678852796	0.135046107032402	0.538832650526403	0.544737712004695	0.0177323326635587	0.288419368488907	0.881241920645814	0.955555860610464	0.603443331823683	0.607291403224948	0.0741636536325692	0.43203566038177	0.0930694921376684	0.177112299530194	0.527817470026424	0.0282048719646238	0.268319307828206	0.0825503071124392	0.688944746071304	0.995874478952094	0.710712016585802	0.779528768526209	NA	0.00199250514494577	0.358596684812004	0.820863308093858	0.0463973826332165	0.126318980825425	NA	0.835652200414671	0.218585031143191	NA	0.0400229604362349	0.134885043729738	NA	NA	0.554620283813975	0.341417408904271	0.278653755463368	0.560255200718452	0.0356753330226779	0.419191861648679	NA	0.0110249690750709	0.1688407389537	0.73790340053614	0.0555794402533619	0.129028094167891	0.95281193913155	0.0574196908736307	0.130208779204991	0.414159837905629	0.305250835956949	0.344072846394184	0.559689545317277
6	BRCA	BRCA.LumA	556	0.0721769420067356	NA	2.59998678317784e-13	1.08990946544108e-05	0.0343422513856399	0.00128601860780444	0.628309249537895	NA	0.290753731825513	0.0710492256598729	0.818297574775264	0.0179713264847651	0.70396032540745	6.43615976697742e-06	0.000129093090498643	0.000711538667710572	6.64795846168933e-07	0.00112275447768506	0.000814233020796748	4.2707451605313e-06	0.0129014327232854	0.00161314413733322	1.47830025179949e-20	0.00277712216326337	0.0039495802749295	0.366226047102512	3.00220061537017e-14	NA	0.000505118129502283	NA	0.804513339225391	0.000939204438182062	0.0150761928756163	0.000413857977775635	0.0363236994607588	0.478199348701898	0.00634324901322677	0.653792491748711	0.00776128078443035	0.244933036462873	6.0567319495511e-23	0.0140277339700604	0.000822995599933149	0.074363921560484	0.547505833004376	0.370983135707004	0.48057446966595	0.387344738101471	0.000236841610132671	0.0173788749260907	0.0166845981477581	0.716483254280405	0.00109158546009293	1.0834215458601e-05	0.00151831355402854	NA	0.799795288846965	0.262706245409434	0.632994939549661	0.322622217522076	0.0249588234116694	NA	0.0004474836147552	0.401758940302951	NA	0.282542953260951	0.0657160664021481	NA	NA	0.251790726173528	0.000274073072219769	0.000640282846603424	0.0136432088730039	0.967559696473979	0.000828207159662127	NA	0.0305581128513655	0.889512239152028	0.219941015565861	0.204817747955849	0.146043083308179	0.0164503198719549	0.00203138560812555	1.31048559579309e-06	2.39113410321521e-10	0.932139837172082	0.364898075928619	0.00189345667002988
7	BRCA	BRCA.Her2	82	0.374160131461334	NA	0.169514050359878	0.689352591827857	0.0607699791575066	0.465256076369242	0.895915141092505	NA	0.0123765874788199	0.0541437433209866	0.362244415413408	0.877822501816635	0.387805077290235	0.158650111408001	0.604612557157526	0.26374957609521	0.903445933942204	0.762396070552861	0.0990138493941969	0.699905927720974	0.600549306220859	0.311519494304452	0.359060837574803	0.10462597807092	0.318701286987262	0.415844320528077	0.083726613829234	NA	0.877288088953533	NA	0.0795290881523409	0.114043914011214	0.769556471885207	0.742117644905347	0.52137540181025	0.804281685561448	0.306863285110217	0.507421944075803	0.212695591704708	0.777061325007579	2.38593928297779e-08	0.565094510936812	0.58026471958956	0.628301228188481	0.865440724815151	0.32084531921498	0.172090027545391	0.203867396938014	0.935569660686675	0.120548890112433	0.739667359068462	0.435577952265486	0.0812236191651317	0.485766699973536	0.997754520493581	NA	0.510668361716622	0.954572445244196	0.314296875004318	0.0632351507125967	0.0933307452788021	NA	0.478472688141557	0.270227460097552	NA	0.957897493647757	0.264469245985045	NA	NA	0.170823964416852	3.01757737163436e-11	0.212984894571066	0.902369281605789	0.237270289877134	0.502190559836351	NA	0.484969170593752	0.739080660334964	0.680920501166318	0.0190229861885564	0.739005963995977	0.294869052691938	0.0369273039602094	0.196506712002561	0.162253274059054	0.733438555507414	0.0621063282933086	0.382682746199755
8	BRCA	BRCA.LumB	207	0.815110733139822	NA	0.00483334570149418	0.00184119504888141	0.200957752614546	0.0183246652146748	0.656128248633369	NA	0.969233478491446	0.325352332107916	0.489298902980106	0.0123138425891342	0.286553864738588	0.594204579513425	0.0482651608276796	0.505816745711415	0.711645863755148	0.77565856258468	0.479372925607034	0.749376232134033	0.48063441567403	0.0108309577876437	3.62407653559155e-05	0.244945315229537	0.315860301455442	0.61422753834188	4.36401064251796e-06	NA	0.0162640343548867	NA	0.00872429732300492	0.63005551095927	0.562886673366901	0.572932017659161	0.81114315361302	0.878457504978719	0.0595003137975739	0.282903889532629	0.169769294133545	0.968481366052472	1.75437553782918e-06	0.249870145563479	0.810787159279798	0.63016272060247	0.756000458223734	0.161694317869043	0.258673242766125	0.205588500534799	0.678829600510266	0.00606155268567686	0.0237336428088206	0.184173703885112	0.782748138630889	0.164219222471009	0.234785632902785	NA	0.433085976064255	0.554990097559605	0.938889413275367	0.0319534180982987	0.672204143151542	NA	0.16640943527526	0.745938222714125	NA	0.0025810561123122	0.486277749449494	NA	NA	0.484991576124161	2.41853953844792e-05	0.706929746455332	0.185993918167879	0.981013962394716	0.035253601435781	NA	0.0239310982479024	0.0782872922232858	0.376927822268733	0.709357090885464	0.093014955252625	0.0151993126247227	0.15559708420209	0.29800060676636	0.629237233314482	0.986651247917941	0.473296503765591	0.269286284695137
9	BRCA	BRCA.Basal	187	0.00609985528972245	NA	0.128883005727477	7.14523792379304e-05	0.208831387668505	0.217996377431379	0.580729204364918	NA	0.0585931381036427	0.00845515243999302	0.940120781962074	0.334579614968987	0.743416681102685	0.731264122076479	0.148383046116315	0.0189318847864158	0.288559587230091	0.478459666420538	0.276468655816151	0.798722328757705	0.0487281342381418	0.447278691314696	0.249130082600234	0.926558997269318	0.332633605693162	0.875601948757022	0.932978358409586	NA	0.61865637733363	NA	0.00856683089732488	0.0737445224580637	0.902290648105046	0.0787758607829199	0.170870176765746	0.825420638768033	0.470893181945436	0.044553118308807	0.543436115093934	0.409293206051145	3.73460335663289e-07	0.745548277938778	0.0228569938524498	0.382084546606312	0.199122412121513	0.828138009677318	0.154696781998814	0.27320109061825	0.0707870782745029	0.37569431180515	0.526935807304385	0.689824397726959	0.270077200277605	0.49727333510313	0.0749715228092689	NA	0.813570336622417	0.0494914169394848	0.0429069635233968	0.122650864339109	0.103081019722749	NA	0.000655740364464384	0.457900799248341	NA	0.00577022799827424	0.900557040467018	NA	NA	0.995902914654862	0.00032048347883075	0.829312597586691	0.495133514496859	0.0133434002521944	0.499518954672452	NA	0.0150351876823929	0.0701653173428302	0.0498009767433039	0.18148651884048	0.495766319672895	0.766535253546568	0.0729291544925515	0.393472055101359	0.973194685205444	0.206765991059565	0.377377866256605	0.000960535771836906
10	COAD	GI.CIN	225	0.00220283908992233	NA	0.917226869075355	0.000487114979649587	0.00178884210211873	0.051851639095559	0.0682123276643092	NA	0.0968836604965611	0.000198881776726006	0.000432053849060737	0.0768183926461329	0.943271997989475	0.137777327773776	0.623903755620004	2.37108587604787e-06	0.00244355889770311	0.0971884299810089	0.339413629684315	0.457901543340123	0.366773954662058	0.117800070955853	4.82846596239933e-05	0.0358390943334653	0.126033130342464	0.715140009047198	2.21606497907477e-05	NA	0.256430357579606	NA	0.0568589295074834	0.494246855719752	0.0688281100120905	0.113527644947768	0.251777467512484	0.00877985749062076	0.000138683379213267	0.228730387703462	0.0842577100972255	0.936680055952589	0.00857654662834934	1.67853690323044e-05	0.000216107665323178	0.375264498808587	0.012015276595247	0.445075877370019	0.391568749065529	0.662435472840986	0.00389185626762051	0.295043180312892	0.416546705209774	0.479629663015124	0.012937178505189	0.608577934863137	0.121797953428384	0.104921443347153	0.811396751167138	0.745117009125641	0.509503420900227	0.953463522923716	0.027009245555555	NA	0.00017530676888482	0.301469408719342	NA	0.0021734881003727	0.00602944442751497	NA	NA	0.0872709832941594	0.066496396107188	0.940649140316907	0.0303710703982988	0.20096493767265	0.279702296487357	NA	0.00213514520322865	4.65851058515836e-13	0.159203261918663	0.684209984125297	0.754635846972352	0.00181897839109415	1.14137718494445e-05	0.00718298555089962	0.26857140650236	0.0052593900743133	0.771577405152211	0.0141214447075147
